时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),建筑业企业签订合同金额累计值(亿元),province,region
2025-09-30,40721.0,105.5,40892.0,42686.0,24606.0,69220.0,72517.0,39293.0,33745.06,上海,东部
2025-06-30,26222.0,105.1,27179.0,28351.0,16535.0,46805.0,48939.0,27431.0,30820.35,上海,东部
2025-03-31,12735.0,105.1,14047.0,14636.0,8805.0,25766.0,26929.0,15421.0,27775.9,上海,东部
2024-12-31,53927.0,105.0,52722.0,54980.0,32320.0,88366.0,93095.0,45644.0,38782.03,上海,东部
2024-09-30,38716.0,104.7,39626.0,41396.0,23682.0,66341.0,69567.0,37266.0,34472.45,上海,东部
2024-06-30,25066.0,104.8,26341.0,27488.0,16013.0,44735.0,46823.0,25918.0,31568.28,上海,东部
2024-03-31,12155.0,105.0,13671.0,14249.0,8560.0,24640.0,25781.0,14557.0,27675.27,上海,东部
2023-12-31,51404.0,105.3,52508.0,54919.0,30782.0,84834.0,89477.0,42988.0,38496.78,上海,东部
2023-09-30,37152.0,106.3,39969.0,41867.0,22905.0,63681.0,66857.0,35130.0,33749.36,上海,东部
2023-06-30,24075.0,110.1,26155.0,27439.0,14607.0,42870.0,44922.0,24418.0,30146.28,上海,东部
2023-03-31,11633.0,103.4,12986.0,13608.0,7501.0,23489.0,24615.0,13564.0,26232.43,上海,东部
2022-12-31,48594.0,100.2,46045.0,48111.0,27430.0,79610.0,84034.0,39729.0,36290.17,上海,东部
2022-09-30,33865.0,99.1,32785.0,34320.0,18984.0,59472.0,62479.0,32435.0,30149.76,上海,东部
2022-06-30,21163.0,94.7,21028.0,22043.0,11901.0,38996.0,40950.0,21434.0,25914.83,上海,东部
2022-03-31,10950.0,103.6,12829.0,13377.0,7999.0,22663.0,23772.0,12891.0,21673.93,上海,东部
2021-12-31,47059.0,108.7,48879.0,51295.0,27205.0,78027.0,82429.0,38521.0,32644.76,上海,东部
2021-09-30,33449.0,110.4,35499.0,37292.0,19446.0,58907.0,61915.0,31985.0,27164.07,上海,东部
2025-09-30,23518.0,104.3,17239.0,23059.0,12524.0,22543.0,35266.0,12238.0,12518.85,云南,西部
2025-06-30,15537.0,104.4,11255.0,15348.0,7940.0,15050.0,23789.0,7972.0,10970.07,云南,西部
2025-03-31,7491.0,104.3,6260.0,8468.0,4499.0,8018.0,12364.0,4550.0,9198.01,云南,西部
2024-12-31,31534.0,103.3,22280.0,29755.0,16214.0,29932.0,45312.0,17450.0,15181.17,云南,西部
2024-09-30,22573.0,103.0,16603.0,22658.0,11816.0,21474.0,34051.0,11531.0,12371.31,云南,西部
2024-06-30,14891.0,103.5,10802.0,15048.0,7445.0,14293.0,22881.0,7504.0,10709.97,云南,西部
2024-03-31,7168.0,104.6,5982.0,8243.0,4221.0,7602.0,11873.0,4277.0,8837.75,云南,西部
2023-12-31,30596.0,104.5,20995.0,28338.0,15147.0,28421.0,43563.0,16361.0,15288.67,云南,西部
2023-09-30,22056.0,104.5,15455.0,21228.0,10977.0,20367.0,32709.0,10793.0,12391.15,云南,西部
2023-06-30,14383.0,105.2,10028.0,14130.0,6846.0,13518.0,21911.0,7008.0,10293.26,云南,西部
2023-03-31,6951.0,104.9,5361.0,7515.0,3716.0,7119.0,11264.0,3952.0,8419.97,云南,西部
2022-12-31,29301.0,104.3,18951.0,26240.0,13309.0,26937.0,42168.0,15147.0,15601.0,云南,西部
2022-09-30,21070.0,103.7,14087.0,19802.0,9778.0,19339.0,31729.0,9999.0,12313.39,云南,西部
2022-06-30,13626.0,103.4,9089.0,13100.0,6066.0,12809.0,21193.0,6490.0,10434.13,云南,西部
2022-03-31,6545.0,105.2,4887.0,6857.0,3425.0,6810.0,10933.0,3749.0,8420.17,云南,西部
2021-12-31,27895.0,107.4,18851.0,27441.0,12386.0,25666.0,40905.0,14197.0,13857.19,云南,西部
2021-09-30,20050.0,108.9,13788.0,20144.0,9130.0,18420.0,30816.0,9336.0,11102.15,云南,西部
2025-09-30,18472.0,104.5,20813.0,24987.0,13986.0,31109.0,40602.0,15583.0,3916.5,内蒙,西部
2025-06-30,12078.0,105.4,14044.0,16610.0,9847.0,20042.0,26526.0,9436.0,3525.43,内蒙,西部
2025-03-31,5816.0,105.4,7523.0,8804.0,5443.0,11303.0,13984.0,6950.0,2567.88,内蒙,西部
2024-12-31,26315.0,105.8,28113.0,33342.0,19631.0,40077.0,50888.0,22543.0,4392.16,内蒙,西部
2024-09-30,18193.0,105.8,20129.0,24405.0,13279.0,29724.0,39070.0,14753.0,3844.5,内蒙,西部
2024-06-30,11901.0,106.2,13511.0,16102.0,9359.0,19054.0,25373.0,8932.0,3329.3,内蒙,西部
2024-03-31,5728.0,105.9,7138.0,8401.0,5129.0,10736.0,13352.0,6576.0,2232.13,内蒙,西部
2023-12-31,25020.0,107.4,27025.0,32249.0,18650.0,38130.0,48676.0,21221.0,3936.49,内蒙,西部
2023-09-30,17479.0,107.3,19241.0,23434.0,12603.0,28316.0,37443.0,13863.0,3415.03,内蒙,西部
2023-06-30,11368.0,107.4,12667.0,15162.0,8718.0,18151.0,24339.0,8353.0,2838.81,内蒙,西部
2023-03-31,5541.0,105.7,6497.0,7676.0,4644.0,10068.0,12584.0,6114.0,1679.0,内蒙,西部
2022-12-31,23796.0,104.5,22298.0,26667.0,15444.0,35921.0,46295.0,19641.0,4085.21,内蒙,西部
2022-09-30,16741.0,105.3,16543.0,20175.0,10914.0,26683.0,35590.0,12880.0,3609.61,内蒙,西部
2022-06-30,10807.0,104.6,10802.0,13080.0,7272.0,17177.0,23241.0,7778.0,3093.51,内蒙,西部
2022-03-31,5245.0,106.1,5801.0,6918.0,4081.0,9622.0,12128.0,5766.0,2161.77,内蒙,西部
2021-12-31,21585.0,106.9,22658.0,27194.0,15691.0,34108.0,44377.0,18337.0,4205.94,内蒙,西部
2021-09-30,15173.0,108.5,16243.0,20025.0,10505.0,25132.0,33767.0,12031.0,3684.5,内蒙,西部
2025-09-30,38416.0,105.6,37246.0,39765.0,20777.0,67206.0,72449.0,32933.0,45493.92,北京,东部
2025-06-30,25029.0,105.5,24847.0,26447.0,14391.0,45144.0,48665.0,22124.0,41635.43,北京,东部
2025-03-31,12160.0,105.5,13332.0,14226.0,7490.0,23606.0,25378.0,12022.0,37350.34,北京,东部
2024-12-31,49843.0,105.2,49748.0,53214.0,27349.0,85415.0,92464.0,39856.0,50795.33,北京,东部
2024-09-30,36393.0,105.1,36581.0,39127.0,20125.0,64314.0,69432.0,31234.0,46208.84,北京,东部
2024-06-30,23724.0,105.4,24165.0,25769.0,13802.0,43084.0,46524.0,20852.0,41943.85,北京,东部
2024-03-31,11519.0,106.0,13034.0,13938.0,7190.0,22481.0,24210.0,11305.0,35526.69,北京,东部
2023-12-31,47354.0,105.5,47586.0,50897.0,26277.0,81752.0,88650.0,37358.0,50351.47,北京,东部
2023-09-30,34580.0,105.4,34783.0,37225.0,19068.0,61718.0,66755.0,29295.0,42249.51,北京,东部
2023-06-30,22495.0,105.8,22861.0,24391.0,13014.0,41358.0,44749.0,19534.0,37001.58,北京,东部
2023-03-31,10861.0,103.4,12045.0,12875.0,6706.0,21367.0,23047.0,10551.0,28755.85,北京,东部
2022-12-31,45222.0,101.0,42683.0,45617.0,23745.0,77415.0,84023.0,34754.0,49291.42,北京,东部
2022-09-30,32703.0,101.1,31671.0,33867.0,17494.0,58597.0,63441.0,27322.0,40468.44,北京,东部
2022-06-30,21152.0,101.0,21035.0,22457.0,11854.0,39391.0,42680.0,18164.0,35082.28,北京,东部
2022-03-31,10294.0,105.1,11332.0,12100.0,6375.0,20630.0,22274.0,10016.0,28254.44,北京,东部
2021-12-31,44351.0,109.2,43640.0,46776.0,23574.0,75002.0,81518.0,33303.0,42756.92,北京,东部
2021-09-30,32176.0,111.4,31781.0,34037.0,17348.0,56498.0,61243.0,26125.0,35013.86,北京,东部
2025-09-30,10832.0,105.3,16911.0,20999.0,11313.0,23435.0,30366.0,13941.0,3543.27,吉林,东北
2025-06-30,6823.0,105.7,11190.0,13923.0,7447.0,15973.0,20017.0,10435.0,2759.49,吉林,东北
2025-03-31,3182.0,105.5,5779.0,7162.0,3903.0,9255.0,10677.0,7326.0,1661.26,吉林,东北
2024-12-31,14361.0,104.3,23118.0,28770.0,15467.0,31318.0,39157.0,20704.0,4303.11,吉林,东北
2024-09-30,10437.0,104.1,16492.0,20741.0,10791.0,22312.0,29105.0,13199.0,3559.37,吉林,东北
2024-06-30,6541.0,105.7,10724.0,13554.0,6928.0,15149.0,19092.0,9859.0,2782.35,吉林,东北
2024-03-31,3059.0,106.5,5467.0,6865.0,3608.0,8782.0,10184.0,6919.0,1392.19,吉林,东北
2023-12-31,13943.0,106.5,21411.0,26677.0,14354.0,29797.0,37503.0,19472.0,4534.86,吉林,东北
2023-09-30,10121.0,106.0,15521.0,19320.0,10477.0,21210.0,27844.0,12401.0,3533.69,吉林,东北
2023-06-30,6254.0,107.7,10065.0,12488.0,6849.0,14324.0,18143.0,9253.0,2834.17,吉林,东北
2023-03-31,2894.0,108.2,4956.0,6026.0,3549.0,8306.0,9676.0,6504.0,1758.61,吉林,东北
2022-12-31,13121.0,98.1,17898.0,21835.0,12729.0,27975.0,35471.0,18134.0,4464.55,吉林,东北
2022-09-30,9519.0,98.4,12710.0,15567.0,8993.0,19740.0,26061.0,11516.0,3451.9,吉林,东北
2022-06-30,5749.0,94.0,8166.0,10001.0,5778.0,13112.0,16701.0,8444.0,2707.9,吉林,东北
2022-03-31,2600.0,92.1,4891.0,5903.0,3587.0,8049.0,9444.0,6250.0,1256.02,吉林,东北
2021-12-31,13431.0,106.6,19605.0,24421.0,13411.0,27770.0,35646.0,17642.0,4318.89,吉林,东北
2021-09-30,9630.0,107.7,13848.0,17511.0,9180.0,19914.0,26566.0,11436.0,3246.16,吉林,东北
2025-09-30,24449.0,105.3,20567.0,24544.0,13683.0,32283.0,40683.0,17745.0,14799.26,四川,西部
2025-06-30,15930.0,105.0,14001.0,16797.0,9162.0,22117.0,28051.0,11845.0,12574.47,四川,西部
2025-03-31,7575.0,104.3,7335.0,8805.0,4842.0,11860.0,14912.0,6681.0,10498.22,四川,西部
2024-12-31,32193.0,105.7,27451.0,32360.0,18918.0,39713.0,49778.0,22221.0,17339.85,四川,西部
2024-09-30,23347.0,106.0,19960.0,24061.0,12971.0,30792.0,39007.0,16790.0,14593.34,四川,西部
2024-06-30,15215.0,106.1,13446.0,16266.0,8639.0,21036.0,26835.0,11152.0,12384.52,四川,西部
2024-03-31,7289.0,106.2,7058.0,8555.0,4556.0,11251.0,14224.0,6280.0,9890.72,四川,西部
2023-12-31,30614.0,106.2,26515.0,31531.0,17964.0,37595.0,47435.0,20820.0,17671.6,四川,西部
2023-09-30,22362.0,105.6,19312.0,23564.0,12203.0,29241.0,37298.0,15768.0,14528.86,四川,西部
2023-06-30,14432.0,104.6,12934.0,15843.0,8068.0,19920.0,25588.0,10442.0,12206.45,四川,西部
2023-03-31,6981.0,104.7,6784.0,8328.0,4252.0,10670.0,13606.0,5856.0,9995.34,四川,西部
2022-12-31,28772.0,102.5,25371.0,30574.0,16727.0,35666.0,45509.0,19313.0,17830.95,四川,西部
