数据库：季度数据
时间：最近18季度
时间,国内生产总值(不变价)当季值(亿元),第三产业增加值(不变价)当季值(亿元),国内生产总值指数(上年同期=100)当季值,工业增加值指数(上年同期=100)当季值,第三产业增加值指数(上年同期=100)当季值,建筑业增加值指数(上年同期=100)当季值,住宿和餐饮业增加值指数(上年同期=100)当季值,金融业增加值指数(上年同期=100)当季值,建筑业企业签订合同金额累计值(亿元),住宅房屋竣工价值累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农村外出务工劳动力(万人),外出务工农村劳动力月均收入(元),固定资产投资价格指数当季值（上年同季=100）,固定资产投资价格指数当季值（上年同季=100）
2025年第四季度,,,,,,,,,,,,,,,,,,,,
2025年第三季度,341291.9,191128.0,104.8,105.8,105.4,97.7,103.6,105.2,599516.40,22274.45,32509,42991,17686,21575,26510,14597,19187,5011,,
2025年第二季度,323488.8,183937.6,105.2,106.2,105.7,99.4,105.2,105.8,524612.77,14660.86,21840,28844,11936,14309,17545,9733,19139,4971,,
2025年第一季度,306612.2,185189.8,105.4,106.3,105.3,103.1,105.1,103.8,444493.53,6884.41,12179,15887,7003,7681,9363,5333,18795,5012,,
2024年第四季度,358507.3,192390.3,105.4,105.8,105.8,103.4,106.6,106.5,727219.17,44470.79,41314,54188,23119,28227,34557,19280,,,,
2024年第三季度,325574.5,181417.9,104.6,105.1,104.8,103.0,105.9,106.2,610426.96,26055.71,30941,41183,16740,20631,25530,13839,19014,4893,,
2024年第二季度,307393.2,174082.9,104.7,105.9,104.2,104.3,105.9,104.3,533035.25,16608.53,20733,27561,11272,13601,16780,9197,18997,4828,,
2024年第一季度,290845.8,175876.2,105.3,106.0,105.0,105.8,107.3,105.2,442519.03,7295.97,11539,15150,6596,7299,8943,5050,18588,4853,,
2023年第四季度,340242.9,181884.0,105.3,104.8,105.7,106.7,116.5,104.4,724731.07,48271.02,39218,51821,21691,26796,32994,18175,,,,
2023年第三季度,311288.6,173117.1,105.0,103.8,105.6,106.7,114.5,104.9,599595.17,27740.14,29398,39428,15705,19530,24315,12998,18774,4735,,
2023年第二季度,293711.1,167104.6,106.5,104.2,107.9,108.3,119.3,106.1,514959.22,17486.25,19672,26357,10551,12739,15810,8550,18705,4646,,
2023年第一季度,276286.8,167491.1,104.7,102.5,105.9,106.8,115.4,105.4,413661.94,7468.05,10870,14388,6131,6738,8303,4629,18195,4504,,
2022年第四季度,322969.4,172049.3,103.0,101.4,103.6,104.4,95.3,101.9,715674.69,49740.81,36883,49283,20133,24538,30391,16632,,,,
2022年第三季度,296333.6,163859.6,104.0,103.1,104.4,105.3,103.9,101.5,577879.24,28515.34,27650,37482,14600,17878,22385,11896,18270,4586,,
2022年第二季度,275704.6,154842.3,100.8,100.1,100.8,101.0,95.9,102.0,490317.80,17498.86,18463,25003,9787,11756,14677,7881,18124,4362,,
2022年第一季度,263762.9,158103.1,104.8,104.8,105.3,98.8,101.0,101.0,384282.24,7106.48,10345,13832,5778,6393,7924,4388,17780,4436,,
2021年第四季度,313417.0,165993.1,104.5,104.1,105.5,96.9,107.6,103.2,656886.49,50519.78,35128,47412,18931,24100,30307,15916,,,,
2021年第三季度,285059.2,156918.9,105.5,105.6,106.3,97.3,108.6,101.7,522664.69,27352.82,26265,35946,13726,17275,21981,11179,18303,4454,,
注：1.不变价数据按不同基期分段计算。累计数据由当季数据相加得到。
　　　2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔专业及辅助性活动）；第二产业是指采矿业（不含开采专业及辅助性活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.本表按不变价格计算。
　　　4.行业分类采用《国民经济行业分类（GB/T 4754－2017）》。
　　　5.2015年之前各季度，其他行业包含信息传输、软件和信息技术服务业，租赁和商务服务业，科学研究和技术服务业，水利、环境和公共设施管理业，居民服务、修理和其他服务业，教育，卫生和社会工作，文化、体育和娱乐业，公共管理、社会保障和社会组织共9个门类行业；2015年及之后各季度，其他行业包含科学研究和技术服务业，水利、环境和公共设施管理业，居民服务、修理和其他服务业，教育，卫生和社会工作，文化、体育和娱乐业，公共管理、社会保障和社会组织共7个门类行业。
　　　6.根据建筑业2021年统计年报和2022年定期统计报表制度修订情况，房屋建筑分类中商厦房屋、宾馆用房屋、餐饮用房屋、商务会展用房屋、其他商业及服务用房屋、科学研究用房屋、教育用房屋、医疗用房屋、厂房不再进行统计。
　　　7.外出务工农村劳动力及收入主要数据为单季度数据。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
数据来源：国家统计局
