数据库：分省季度数据
地区：上海市
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,56709,105.4,,91987,96842,48122,54765,57076,33891,,,,,,,97.7,,,,4.6
2025年第三季度,40721,105.5,,69220,72517,39293,40892,42686,24606,168.09,83.51,1.44,33.91,37.90,,97.5,,,,4.3
2025年第二季度,26222,105.1,,46805,48939,27431,27179,28351,16535,107.64,48.17,1.02,23.74,27.48,,98.8,,,,1.7
2025年第一季度,12735,105.1,,25766,26929,15421,14047,14636,8805,49.76,17.26,0.39,12.23,16.57,,98.7,,,,-1.1
2024年第四季度,53927,105.0,,88366,93095,45644,52722,54980,32320,268.52,144.20,8.03,50.10,48.88,,102.1,,,,-3.1
2024年第三季度,38716,104.7,,66341,69567,37266,39626,41396,23682,168.23,88.43,1.46,35.64,31.65,,103.3,,,,-3.4
2024年第二季度,25066,104.8,,44735,46823,25918,26341,27488,16013,104.50,52.99,1.18,23.98,20.39,,97.2,,,,-2.3
2024年第一季度,12155,105.0,,24640,25781,14557,13671,14249,8560,48.18,19.23,0.48,12.88,13.10,,96.2,,,,0.1
2023年第四季度,51404,105.3,,84834,89477,42988,52508,54919,30782,269.60,145.25,7.18,47.01,52.71,,95.1,,,,12.6
2023年第三季度,37152,106.3,,63681,66857,35130,39969,41867,22905,161.04,85.16,1.43,32.12,31.45,,97.8,,,,16.1
2023年第二季度,24075,110.1,,42870,44922,24418,26155,27439,14607,98.96,51.91,1.16,20.75,18.46,,97.9,,,,23.5
2023年第一季度,11633,103.4,,23489,24615,13564,12986,13608,7501,46.86,20.17,0.41,12.42,10.62,,105.5,,,,5.2
2022年第四季度,48594,100.2,,79610,84034,39729,46045,48111,27430,273.53,149.26,8.32,46.36,51.21,,106.2,,,,-9.1
2022年第三季度,33865,99.1,,59472,62479,32435,32785,34320,18984,159.43,86.78,1.44,30.71,29.42,,110.4,,,,-10.7
2022年第二季度,21163,94.7,,38996,40950,21434,21028,22043,11901,96.97,50.84,1.12,19.60,19.03,,109.3,,,,-16.1
2022年第一季度,10950,103.6,,22663,23772,12891,12829,13377,7999,43.78,19.52,0.48,10.76,10.04,,95.5,,,,-3.8
2021年第四季度,47059,108.7,,78027,82429,38521,48879,51295,27205,268.93,144.94,8.68,45.34,47.72,,105.9,,,,13.5
2021年第三季度,33449,110.4,,58907,61915,31985,35499,37292,19446,154.06,81.19,2.07,30.14,29.11,,100.9,,,,19.6
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
