数据库：分省季度数据
地区：云南省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,32766,104.1,,31311,46699,18514,23335,30689,17220,,,,,,95.3,98.4,100.9,103.8,,2.4
2025年第三季度,23518,104.3,,22543,35266,12238,17239,23059,12524,4276.19,2408.87,460.66,1139.72,83.98,98.0,93.2,,105.3,,3.8
2025年第二季度,15537,104.4,,15050,23789,7972,11255,15348,7940,2363.02,1309.11,306.23,664.15,37.94,92.5,101.5,99.5,103.1,,4.2
2025年第一季度,7491,104.3,,8018,12364,4550,6260,8468,4499,1159.20,632.92,83.52,390.80,21.05,92.0,105.5,99.4,92.5,,3.8
2024年第四季度,31534,103.3,,29932,45312,17450,22280,29755,16214,6846.86,4023.68,595.58,1869.18,134.12,,103.2,98.9,76.4,,2.9
2024年第三季度,22573,103.0,,21474,34051,11531,16603,22658,11816,4069.22,2202.94,416.42,1193.55,82.56,82.6,99.0,,72.3,,2.8
2024年第二季度,14891,103.5,,14293,22881,7504,10802,15048,7445,2185.18,1172.39,268.31,662.81,38.21,91.6,96.9,105.6,75.9,,2.8
2024年第一季度,7168,104.6,,7602,11873,4277,5982,8243,4221,1053.14,558.27,69.22,375.35,20.81,107.1,90.8,105.7,78.6,,3.7
2023年第四季度,30596,104.5,,28421,43563,16361,20995,28338,15147,6834.50,4041.84,485.17,1969.32,125.37,98.9,93.7,102.9,76.9,,6.7
2023年第三季度,22056,104.5,,20367,32709,10793,15455,21228,10977,4162.82,2306.47,341.97,1272.48,76.56,103.9,100.1,,84.1,,7.0
2023年第二季度,14383,105.2,,13518,21911,7008,10028,14130,6846,2267.08,1238.30,221.49,730.11,35.57,105.8,103.4,101.6,88.1,,8.7
2023年第一季度,6951,104.9,,7119,11264,3952,5361,7515,3716,1146.04,613.89,61.59,422.57,19.52,102.7,107.2,102.3,96.5,,7.5
2022年第四季度,29301,104.3,,26937,42168,15147,18951,26240,13309,6635.80,3629.90,492.20,2192.30,119.90,109.5,109.3,100.0,98.9,,1.0
2022年第三季度,21070,103.7,,19339,31729,9999,14087,19802,9778,3873.75,2011.60,351.17,1281.77,72.80,107.3,108.2,,98.5,,1.5
2022年第二季度,13626,103.4,,12809,21193,6490,9089,13100,6066,2053.22,1079.25,230.04,670.37,34.17,108.3,94.8,109.3,107.4,,0.1
2022年第一季度,6545,105.2,,6810,10933,3749,4887,6857,3425,1026.19,533.03,62.89,384.75,18.63,111.9,84.2,104.4,91.8,,3.6
2021年第四季度,27895,107.4,,25666,40905,14197,18851,27441,12386,6351.82,3441.47,497.33,2113.31,112.38,102.3,92.8,99.7,132.0,,9.6
2021年第三季度,20050,108.9,,18420,30816,9336,13788,20144,9130,3799.11,1814.97,345.31,1424.42,67.63,106.6,93.3,108.7,102.4,,12.1
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
