数据库：分省季度数据
地区：内蒙古自治区
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,26710,104.7,,41921,52829,23855,29159,34183,20838,,,,,,96.1,103.5,93.2,127.2,,4.3
2025年第三季度,18472,104.5,,31109,40602,15583,20813,24987,13986,1688.46,325.56,129.06,1150.29,28.80,99.0,97.0,,130.4,,7.2
2025年第二季度,12078,105.4,,20042,26526,9436,14044,16610,9847,786.12,75.10,83.11,577.47,12.20,101.9,97.8,,114.3,,7.7
2025年第一季度,5816,105.4,,11303,13984,6950,7523,8804,5443,327.78,31.72,30.26,245.33,2.45,99.6,92.2,,85.5,,6.7
2024年第四季度,26315,105.8,,40077,50888,22543,28113,33342,19631,4832.59,2552.72,185.14,1938.59,35.87,109.3,91.2,94.7,70.3,,4.5
2024年第三季度,18193,105.8,,29724,39070,14753,20129,24405,13279,1567.76,298.18,100.09,1090.07,27.18,,98.4,,64.3,,3.4
2024年第二季度,11901,106.2,,19054,25373,8932,13511,16102,9359,738.96,72.13,57.01,561.43,11.59,,92.2,,73.8,,2.8
2024年第一季度,5728,105.9,,10736,13352,6576,7138,8401,5129,321.26,31.42,29.91,240.21,2.30,97.0,89.3,,75.5,,2.8
2023年第四季度,25020,107.4,,38130,48676,21221,27025,32249,18650,4447.31,2288.03,116.85,1898.72,32.16,101.5,90.6,108.2,87.6,,8.1
2023年第三季度,17479,107.3,,28316,37443,13863,19241,23434,12603,1522.09,267.85,87.89,1092.35,25.49,114.9,96.6,,93.5,,5.1
2023年第二季度,11368,107.4,,18151,24339,8353,12667,15162,8718,741.99,70.11,51.99,574.89,10.86,117.4,98.8,,88.9,,7.8
2023年第一季度,5541,105.7,,10068,12584,6114,6497,7676,4644,316.26,31.15,28.01,238.49,2.22,106.1,105.0,,98.3,,8.4
2022年第四季度,23796,104.5,,35921,46295,19641,22298,26667,15444,4316.76,2208.47,107.50,1876.28,31.30,124.8,107.5,110.3,96.1,,-1.8
2022年第三季度,16741,105.3,,26683,35590,12880,16543,20175,10914,1419.22,266.64,80.43,1008.26,24.21,94.8,102.1,97.3,98.1,,1.4
2022年第二季度,10807,104.6,,17177,23241,7778,10802,13080,7272,703.41,77.79,45.74,543.44,10.26,102.3,99.4,,96.5,,-0.2
2022年第一季度,5245,106.1,,9622,12128,5766,5801,6918,4081,308.38,40.83,26.41,229.13,1.96,111.8,96.2,,93.4,,1.7
2021年第四季度,21585,106.9,,34108,44377,18337,22658,27194,15691,3815.12,1879.55,94.06,1755.27,29.82,109.2,98.5,96.3,96.1,,6.3
2021年第三季度,15173,108.5,,25132,33767,12031,16243,20025,10505,1450.37,256.96,77.30,1061.91,22.60,,101.8,,97.0,,9.2
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
