数据库：分省季度数据
地区：北京市
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,52073,105.4,,89090,96292,42012,50667,54122,28081,,,,,,,98.1,,104.6,,-2.9
2025年第三季度,38416,105.6,,67206,72449,32933,37246,39765,20777,165.69,88.54,37.34,30.07,4.85,,97.7,,98.7,,-5.1
2025年第二季度,25029,105.5,,45144,48665,22124,24847,26447,14391,97.86,47.02,23.55,20.93,3.28,,97.4,,98.4,,-3.8
2025年第一季度,12160,105.5,,23606,25378,12022,13332,14226,7490,38.82,15.21,11.05,10.64,0.62,,98.1,,93.1,,-3.3
2024年第四季度,49843,105.2,,85415,92464,39856,49748,53214,27349,256.05,139.61,64.09,41.65,5.08,,97.2,,96.8,,-2.7
2024年第三季度,36393,105.1,,64314,69432,31234,36581,39127,20125,169.19,90.54,43.38,28.30,3.29,,102.7,,92.6,,-1.6
2024年第二季度,23724,105.4,,43084,46524,20852,24165,25769,13802,97.39,46.24,27.03,19.31,2.42,,99.6,,96.8,,-0.3
2024年第一季度,11519,106.0,,22481,24210,11305,13034,13938,7190,38.52,15.18,11.77,10.26,0.43,,96.3,,96.9,,-0.1
2023年第四季度,47354,105.5,,81752,88650,37358,47586,50897,26277,252.62,135.60,65.87,41.99,4.04,,95.1,,96.0,,4.8
2023年第三季度,34580,105.4,,61718,66755,29295,34783,37225,19068,168.42,90.03,43.03,29.43,2.49,,100.6,,93.6,,2.5
2023年第二季度,22495,105.8,,41358,44749,19534,22861,24391,13014,97.79,44.87,29.03,19.90,1.74,,97.2,,85.4,,4.5
2023年第一季度,10861,103.4,,21367,23047,10551,12045,12875,6706,37.84,14.48,12.31,10.00,0.29,,102.3,,100.8,,-0.7
2022年第四季度,45222,101.0,,77415,84023,34754,42683,45617,23745,268.18,129.77,86.52,42.29,3.85,,105.3,,102.4,,-7.2
2022年第三季度,32703,101.1,,58597,63441,27322,31671,33867,17494,175.83,84.73,53.88,31.20,2.31,,107.1,,101.0,,-4.5
2022年第二季度,21152,101.0,,39391,42680,18164,21035,22457,11854,103.40,41.45,37.19,21.24,1.47,,100.8,,101.5,,-7.2
2022年第一季度,10294,105.1,,20630,22274,10016,11332,12100,6375,36.74,13.76,10.84,10.99,0.29,,96.6,,99.6,,0.7
2021年第四季度,44351,109.2,,75002,81518,33303,43640,46776,23574,269.51,122.98,88.80,46.27,4.37,,100.6,,100.6,,8.4
2021年第三季度,32176,111.4,,56498,61243,26125,31781,34037,17348,171.33,82.05,46.49,34.63,2.74,,96.1,,96.4,,14.0
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
