数据库：分省季度数据
地区：吉林省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,14974,105.0,,32881,40817,21911,24074,29745,16236,,,,,,115.2,101.5,,109.9,,3.9
2025年第三季度,10832,105.3,,23435,30366,13941,16911,20999,11313,1390.78,326.79,49.23,942.89,43.41,,95.2,,124.2,,4.0
2025年第二季度,6823,105.7,,15973,20017,10435,11190,13923,7447,739.79,71.73,30.85,606.53,15.58,82.0,95.4,,109.0,,4.8
2025年第一季度,3182,105.5,,9255,10677,7326,5779,7162,3903,327.70,9.15,9.39,302.42,2.95,80.5,88.5,,87.1,,4.8
2024年第四季度,14361,104.3,,31318,39157,20704,23118,28770,15467,3031.29,1443.73,75.42,1344.07,68.67,76.8,89.0,,78.7,,3.5
2024年第三季度,10437,104.1,,22312,29105,13199,16492,20741,10791,1370.63,343.38,47.91,913.72,38.29,,103.1,,64.1,,2.9
2024年第二季度,6541,105.7,,15149,19092,9859,10724,13554,6928,702.19,53.79,29.13,590.74,14.04,,93.6,,77.3,,3.9
2024年第一季度,3059,106.5,,8782,10184,6919,5467,6865,3608,321.33,8.55,9.41,296.93,2.77,76.3,89.9,,67.9,,4.5
2023年第四季度,13943,106.5,,29797,37503,19472,21411,26677,14354,3128.02,1494.51,70.05,1402.18,65.44,91.8,94.7,,80.1,,9.0
2023年第三季度,10121,106.0,,21210,27844,12401,15521,19320,10477,1367.86,268.46,38.90,998.87,35.32,,88.7,,87.4,,10.0
2023年第二季度,6254,107.7,,14324,18143,9253,10065,12488,6849,765.14,50.37,22.07,665.78,12.82,,98.1,,86.1,,15.6
2023年第一季度,2894,108.2,,8306,9676,6504,4956,6026,3549,397.02,7.10,8.44,375.76,2.32,140.1,107.3,,98.6,,14.0
2022年第四季度,13121,98.1,,27975,35471,18134,17898,21835,12729,3217.91,1512.73,69.49,1482.58,61.59,119.1,112.5,,98.0,,-9.7
2022年第三季度,9519,98.4,,19740,26061,11516,12710,15567,8993,1409.94,301.28,39.66,1010.38,34.11,,116.1,,99.5,,-8.1
2022年第二季度,5749,94.0,,13112,16701,8444,8166,10001,5778,747.08,53.67,23.14,645.56,12.15,97.3,98.0,,97.7,,-11.7
2022年第一季度,2600,92.1,,8049,9444,6250,4891,5903,3587,359.84,6.84,8.10,339.29,2.38,89.5,89.0,,98.9,,-4.2
2021年第四季度,13431,106.6,,27770,35646,17642,19605,24421,13411,2972.32,1302.91,72.59,1454.25,54.39,89.9,94.2,,98.5,,10.3
2021年第三季度,9630,107.7,,19914,26566,11436,13848,17511,9180,1422.65,249.61,41.09,1078.23,30.28,,95.6,,101.1,,12.5
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
