数据库：分省季度数据
地区：四川省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,67665,105.5,,36120,49428,22494,26073,32181,19818,,,,,,98.6,92.8,100.0,107.9,,5.1
2025年第三季度,49322,105.5,,27046,37338,16741,18799,23690,13902,8257.74,5410.15,375.35,1967.30,298.11,97.4,93.6,,105.0,,5.8
2025年第二季度,31918,105.6,,18779,25489,12061,12208,15401,9010,3953.08,1920.20,277.99,1404.40,221.27,100.8,96.1,100.0,100.5,,5.6
2025年第一季度,15247,105.5,,10021,13464,6625,6351,8001,4724,1631.80,676.09,96.13,701.19,97.00,101.4,101.5,100.1,82.7,,5.2
2024年第四季度,64697,105.7,,34325,47336,21303,24878,30874,18878,10297.54,6075.78,565.62,2977.36,377.40,100.8,102.6,107.7,79.4,,4.2
2024年第三季度,47005,105.3,,25687,35721,15867,17842,22624,13163,8187.63,5308.12,351.19,2045.67,286.85,98.4,103.3,,77.1,,4.4
2024年第二季度,30445,105.4,,17776,24312,11380,11492,14592,8458,3867.33,1852.61,258.64,1419.57,214.61,93.6,99.8,,73.8,,4.9
2024年第一季度,14517,106.1,,9470,12828,6232,5979,7580,4434,1567.36,641.39,91.70,682.10,94.85,97.1,95.3,98.9,80.0,,6.1
2023年第四季度,61353,106.1,,32514,45227,19978,23550,29280,17901,9977.76,5821.66,481.80,3035.62,359.09,93.9,90.1,100.0,86.7,,9.2
2023年第三季度,44944,106.6,,24341,34146,14887,16821,21478,12331,7959.42,5091.83,311.03,2102.30,272.22,121.3,96.5,,87.6,,9.2
2023年第二季度,28885,105.6,,16846,23237,10683,10874,13889,7968,3796.98,1769.80,232.79,1476.07,204.40,103.9,100.0,,93.2,,7.6
2023年第一季度,13758,103.9,,8894,12176,5777,5642,7182,4180,1544.16,603.40,78.05,719.23,90.02,103.8,101.9,101.6,100.1,,4.3
2022年第四季度,57609,102.9,,30679,43233,18672,22302,27637,17199,9859.75,5528.76,438.22,3281.67,343.11,124.2,109.9,100.0,105.0,,-0.1
2022年第三季度,41260,101.5,,23040,32736,13973,15826,20297,11645,7609.37,4751.23,289.49,2134.10,260.01,105.4,115.7,,100.7,,-0.2
2022年第二季度,26706,102.8,,15933,22305,9975,10413,13439,7584,3610.02,1653.80,215.78,1437.77,193.63,110.1,93.9,112.9,99.1,,0.6
2022年第一季度,12999,105.3,,8451,11703,5454,5394,6917,3991,1484.96,568.90,76.74,702.71,85.28,105.6,84.3,105.9,100.8,,5.1
2021年第四季度,55131,108.3,,29080,41444,17575,21518,26971,16444,9383.32,5089.48,408.44,3305.28,327.82,94.7,91.6,,101.2,,15.9
2021年第三季度,39731,109.4,,21701,31156,13106,15007,19637,10798,7274.52,4315.42,270.57,2275.69,250.53,85.9,90.0,,99.5,,18.9
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
