数据库：分省季度数据
地区：天津市
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,18540,104.8,,55918,60099,34465,37147,39693,24086,,,,,,,102.2,,119.2,,0.3
2025年第三季度,13416,104.7,,44353,47990,26112,27823,29753,18140,363.24,198.44,5.18,92.60,49.43,,94.5,,111.6,,-0.7
2025年第二季度,8707,105.3,,29176,31545,17293,18673,19948,12278,193.99,92.08,3.18,64.08,19.67,,101.3,,119.0,,-0.7
2025年第一季度,4194,105.8,,15987,17245,9725,9740,10343,6742,65.54,17.79,1.23,34.10,6.92,,95.4,,93.9,,-2.3
2024年第四季度,18024,105.1,,53581,57705,32715,35804,38309,23129,538.12,290.77,6.42,143.36,77.70,,101.7,,77.0,,-3.1
2024年第三季度,13056,104.7,,42499,46078,24786,26723,28608,17398,361.64,193.11,4.84,100.31,46.79,,103.2,,78.6,,-3.2
2024年第二季度,8446,104.9,,27874,30204,16345,17957,19211,11751,187.52,88.30,2.95,64.63,17.56,,98.4,,82.6,,-2.1
2024年第一季度,4024,105.3,,15260,16496,9188,9370,9962,6461,66.01,18.43,1.12,34.79,6.47,,97.6,,70.7,,1.8
2023年第四季度,17212,104.5,,51271,55355,30851,34914,37586,21553,511.26,269.39,5.98,145.55,71.91,,98.7,,87.2,,7.0
2023年第三季度,12574,104.9,,40713,44253,23394,25719,27722,15917,348.94,177.77,4.42,106.67,44.70,,96.1,,85.0,,6.9
2023年第二季度,8055,105.0,,26655,28948,15440,16685,17901,10733,185.80,83.98,2.74,70.19,15.77,,97.7,,78.4,,8.1
2023年第一季度,3819,105.7,,14524,15737,8638,8472,9048,5678,64.86,15.86,1.04,37.26,5.78,,99.8,,99.8,,6.5
2022年第四季度,16589,101.2,,48976,53003,29018,31324,33824,18934,521.44,276.80,8.86,147.23,70.46,,98.6,,107.3,,-5.2
2022年第三季度,12161,101.3,,38935,42416,22057,23332,25285,13864,341.04,180.22,5.29,99.23,41.31,,105.8,,104.2,,-3.2
2022年第二季度,7789,100.7,,25454,27715,14488,15203,16404,9383,180.67,87.10,3.55,63.13,14.19,,102.2,,106.8,,-5.5
2022年第一季度,3617,100.4,,14082,15288,8283,7882,8443,5184,61.88,16.96,0.64,33.28,6.33,,92.4,,105.2,,-3.9
2021年第四季度,16093,106.8,,47449,51486,27955,33188,36067,19285,509.26,258.39,9.50,142.48,80.93,,120.0,,96.3,,5.2
2021年第三季度,11650,108.8,,37572,41009,21136,24387,26526,14163,325.34,156.86,6.06,102.73,44.85,,102.9,,101.7,,7.8
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
