数据库：分省季度数据
地区：宁夏回族自治区
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,5696,105.3,,35184,46593,20142,23971,29686,16436,,,,,,,103.0,,116.6,,2.1
2025年第三季度,4029,105.8,,24718,33826,12883,17703,22447,11538,625.65,289.15,9.84,278.26,22.40,,98.1,,112.9,,3.4
2025年第二季度,2651,105.8,,15461,21656,7411,11693,14636,7868,263.29,49.33,5.28,186.80,7.84,,96.6,,116.0,,6.2
2025年第一季度,1310,106.0,,8202,10985,4619,6056,7418,4300,126.69,19.95,1.57,93.78,2.67,,89.9,,90.0,,5.9
2024年第四季度,5503,105.4,,33355,44449,19015,22865,28469,15622,933.63,488.40,12.37,369.98,26.65,,91.8,,82.7,,5.0
2024年第三季度,3906,104.9,,23421,32253,12167,16798,21440,10885,613.19,296.54,8.06,263.73,20.22,,101.6,,85.1,,3.5
2024年第二季度,2574,105.1,,14629,20635,6977,11089,13977,7410,253.19,46.98,4.34,181.24,7.33,,93.1,,78.8,,1.3
2024年第一季度,1261,105.8,,7740,10441,4330,5836,7194,4121,130.40,20.44,0.42,98.74,2.54,,91.1,,82.6,,1.7
2023年第四季度,5369,106.7,,31604,42395,17772,21629,27076,14649,885.69,459.51,10.64,358.01,22.83,,94.8,,89.2,,1.2
2023年第三季度,3831,106.5,,22181,30739,11368,16014,20586,10238,574.74,272.56,6.49,254.83,17.20,,93.7,,84.7,,-2.3
2023年第二季度,2531,106.6,,13806,19590,6500,10474,13266,6947,249.48,49.79,3.92,176.39,6.62,,100.6,,87.9,,-1.2
2023年第一季度,1235,107.6,,7252,9819,4040,5262,6626,3554,128.44,21.03,0.48,96.60,2.41,,105.7,,97.0,,1.8
2022年第四季度,5168,104.3,,29599,40194,16430,19136,24213,12825,845.92,455.59,11.48,323.50,22.75,,104.9,,99.1,,0.2
2022年第三季度,3682,105.2,,20671,28953,10523,14400,18658,9182,548.92,267.28,9.08,233.36,17.11,,102.6,,98.0,,2.3
2022年第二季度,2409,105.7,,12898,18501,6032,9495,12086,6319,226.96,41.84,5.17,161.89,6.28,,94.9,,97.6,,1.4
2022年第一季度,1141,105.6,,6918,9488,3799,5061,6420,3412,119.09,18.89,0.50,90.26,2.15,,90.0,,98.2,,3.0
2021年第四季度,4666,106.9,,27904,38291,15337,20024,25386,13536,759.81,412.70,11.38,280.66,24.96,129.1,101.0,,96.0,,2.6
2021年第三季度,3311,108.5,,19424,27489,9805,14463,18573,9560,502.39,253.01,7.41,203.14,18.71,,106.1,,97.3,,7.6
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
