数据库：分省季度数据
地区：安徽省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,52989,105.5,,38755,51737,23828,26022,30539,20829,,,,,,96.9,93.8,,112.3,,4.2
2025年第三季度,39770,105.4,,29451,39508,18115,19774,23421,15663,3876.56,1718.08,222.50,1174.93,471.53,97.7,95.6,,109.4,,4.4
2025年第二季度,25723,105.6,,19961,26230,12896,12883,15098,10386,2366.92,1100.67,140.01,675.67,261.90,96.2,96.9,,110.6,,5.5
2025年第一季度,12265,106.2,,11206,14667,7352,7224,8444,5866,908.10,240.68,57.50,395.52,144.30,104.4,97.8,,85.3,,5.8
2024年第四季度,50625,105.8,,36782,49539,22507,24996,29323,20154,6400.63,2949.72,522.00,1746.37,723.09,99.4,97.6,,79.4,,4.7
2024年第三季度,38257,105.4,,27942,37793,17139,18862,22416,14964,3882.36,1682.71,213.17,1260.96,454.07,97.2,100.0,,81.5,,4.3
2024年第二季度,24632,105.3,,18923,25076,12174,12276,14464,9877,2330.68,1081.65,134.64,681.39,257.38,98.3,98.0,,79.5,,4.1
2024年第一季度,11646,105.2,,10591,13979,6920,6885,8085,5585,894.73,239.59,55.59,386.28,147.64,98.0,97.8,,79.7,,4.0
2023年第四季度,48227,105.8,,34893,47446,21144,23607,27900,18905,6247.89,2906.33,479.88,1746.31,689.48,102.6,95.7,,91.1,,6.9
2023年第三季度,36518,106.1,,26539,36272,16090,17741,21177,14053,3795.19,1648.90,205.25,1260.07,430.50,97.5,96.4,,91.4,,6.7
2023年第二季度,23650,106.1,,17998,24138,11407,11519,13714,9163,2325.10,1120.08,131.13,666.55,244.47,96.7,96.3,,84.5,,7.3
2023年第一季度,11219,104.8,,10007,13350,6461,6465,7513,5354,871.00,229.07,55.69,381.06,142.98,102.0,99.3,,97.4,,4.8
2022年第四季度,45525,103.3,,32745,45133,19575,22542,26832,17980,6277.98,2937.04,473.34,1812.53,660.28,106.7,102.4,,98.7,,0.2
2022年第三季度,34240,103.0,,24862,34396,14925,16733,20073,13252,3806.08,1708.25,194.76,1261.23,409.92,115.0,112.5,,96.6,,0.9
2022年第二季度,22106,102.7,,16845,22865,10570,11121,13297,8854,2341.43,1187.46,126.80,641.55,235.58,117.5,105.4,,100.7,,-0.3
2022年第一季度,10512,104.9,,9512,12832,6094,6306,7376,5204,858.59,240.79,61.00,364.04,134.90,103.3,88.9,,98.9,,3.7
2021年第四季度,43103,108.2,,30904,43009,18372,21911,26495,17163,6004.31,2802.93,412.90,1810.86,621.66,104.0,102.5,,100.4,,17.1
2021年第三季度,31825,110.1,,23361,32603,13988,16166,19569,12715,3636.32,1557.13,204.74,1311.63,353.96,99.8,98.8,,104.3,,22.0
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
