数据库：分省季度数据
地区：山东省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,103197,105.5,,44180,56444,26613,26596,32561,18053,,,,,,97.7,99.6,,122.6,,5.1
2025年第三季度,77115,105.6,,33826,42697,21464,19038,23178,13269,8963.55,5157.11,130.69,1959.45,932.34,99.3,91.5,,113.9,,5.6
2025年第二季度,50046,105.6,,22592,28306,14631,12304,14961,8603,5375.26,3261.71,72.36,1093.03,502.32,82.6,95.9,,111.9,,5.6
2025年第一季度,23466,106.0,,12240,15486,7745,6675,8171,4602,1436.41,535.23,35.04,582.01,109.58,90.5,94.8,,80.8,,5.6
2024年第四季度,98566,105.7,,42077,54062,25257,25645,31625,17253,12832.34,6753.21,251.94,2948.53,1739.40,91.0,95.2,,75.0,,5.0
2024年第三季度,73782,105.6,,32229,40882,20414,18302,22414,12687,8957.02,5186.00,126.90,1992.64,924.80,96.3,98.5,,74.5,,5.2
2024年第二季度,47889,105.8,,21464,27031,13863,11791,14413,8212,5359.11,3293.01,70.82,1082.81,499.93,90.2,90.6,,71.6,,5.5
2024年第一季度,22288,106.0,,11591,14744,7312,6410,7890,4402,1465.11,582.31,33.99,576.02,111.45,100.0,95.8,,79.0,,6.7
2023年第四季度,94206,106.1,,39890,51571,23776,24293,30251,16075,12531.90,6462.43,244.47,2973.68,1807.64,96.4,97.1,,83.5,,8.7
2023年第三季度,70313,106.1,,30567,39039,19197,17118,21192,11650,8819.08,5044.23,125.07,2004.85,978.14,110.8,98.3,,99.0,,8.2
2023年第二季度,45578,106.3,,20309,25736,13025,10954,13500,7537,5362.78,3276.22,71.71,1123.60,513.25,101.1,107.0,,86.3,,9.1
2023年第一季度,21111,104.8,,10950,14021,6853,5923,7340,4033,1413.76,517.60,32.84,607.14,106.43,117.4,105.7,,94.8,,5.6
2022年第四季度,89519,104.0,,37560,49050,22110,22640,28555,14687,12130.71,6206.54,227.29,3003.54,1729.65,113.2,100.7,,97.8,,-1.4
2022年第三季度,66200,104.1,,28768,37094,17873,15864,19820,10688,8401.88,4807.53,118.89,1959.76,907.10,103.7,110.4,,100.2,,0.1
2022年第二季度,42877,103.7,,19129,24463,12150,10343,12861,7048,5163.82,3189.33,65.66,1084.37,487.74,103.8,104.0,,97.2,,-0.3
2022年第一季度,20497,105.3,,10456,13503,6493,5721,7124,3896,1399.95,569.74,32.05,557.63,102.17,86.1,99.6,,98.3,,3.7
2021年第四季度,84838,108.5,,35705,47066,20794,22821,29314,14299,11468.01,5814.56,219.94,2904.24,1652.60,117.3,104.4,,98.2,,15.3
2021年第三季度,61392,110.0,,27313,35497,16861,15472,19729,10036,7851.35,4366.71,113.81,1958.37,862.19,103.2,101.6,,96.8,,18.6
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
