数据库：分省季度数据
地区：山西省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,25496,104.0,,33923,44649,19766,22265,27339,15568,,,,,,107.2,96.8,,129.0,,4.7
2025年第三季度,17807,104.0,,24809,33288,13883,16037,19635,11401,1565.25,804.85,166.51,475.92,9.88,,90.5,,103.1,,6.6
2025年第二季度,11464,103.8,,15731,21252,8617,10687,13010,7693,790.61,251.79,147.24,317.85,5.59,103.4,103.8,,104.7,,6.1
2025年第一季度,5611,104.5,,8484,11207,5027,5597,6746,4138,305.66,63.50,60.47,166.32,1.99,,98.8,,88.4,,5.9
2024年第四季度,25495,102.3,,32441,43036,18741,21090,26089,14626,2341.38,1355.77,176.19,664.56,10.10,105.4,100.9,,79.3,,2.5
2024年第三季度,17804,101.8,,23708,32064,13159,15306,18827,10861,1568.38,801.03,153.83,500.93,8.87,100.0,102.0,,84.9,,1.9
2024年第二季度,11371,101.9,,14986,20389,8165,10185,12446,7331,785.48,249.29,138.33,327.76,4.66,103.6,91.2,,74.0,,2.2
2024年第一季度,5507,101.2,,8067,10734,4750,5257,6327,3926,304.37,63.05,57.37,169.30,1.79,,93.7,,77.3,,3.0
2023年第四季度,26051,105.1,,30924,41327,17677,19756,24524,13684,2291.70,1332.70,177.35,642.75,9.59,84.8,95.6,,70.0,,5.5
2023年第三季度,18421,104.6,,22578,30775,12388,14259,17418,10332,1552.33,791.27,157.43,496.28,7.84,103.6,101.9,,86.8,,3.7
2023年第二季度,11938,104.8,,14240,19526,7668,9427,11508,6840,786.27,246.36,137.99,334.77,4.38,,102.6,,116.9,,5.7
2023年第一季度,5953,105.1,,7594,10213,4386,4830,5786,3659,306.93,59.78,59.45,173.73,1.61,91.5,104.8,,106.2,,4.9
2022年第四季度,25653,104.4,,29178,39532,16323,17537,21923,12091,2211.59,1288.41,174.52,615.81,9.06,93.7,106.6,,107.6,,-2.4
2022年第三季度,18128,105.4,,21299,29406,11471,13271,16417,9458,1485.51,768.21,162.88,451.28,7.13,90.6,107.8,,101.0,,0.0
2022年第二季度,11632,105.3,,13395,18588,7099,8761,10863,6212,743.28,243.51,148.91,286.26,4.07,79.6,110.3,,84.1,,-1.4
2022年第一季度,5544,106.6,,7206,9790,4121,4536,5560,3313,276.73,58.81,55.95,148.72,1.43,100.0,98.9,,91.1,,2.1
2021年第四季度,23088,109.4,,27426,37433,15308,17191,21965,11410,2134.02,1223.14,159.80,624.39,9.12,,103.6,,94.7,,14.8
2021年第三季度,15850,110.8,,19945,27718,10754,12590,16076,8467,1393.62,680.95,154.37,460.20,6.95,,100.1,,105.4,,22.4
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
