数据库：分省季度数据
地区：广东省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,145847,103.9,,53669,63974,28170,37262,42726,23743,,,,,,101.1,96.7,105.5,,,2.8
2025年第三季度,105177,104.1,,42842,51187,22308,27912,32166,17446,6775.59,3094.35,446.13,1274.54,1502.08,98.0,90.6,,,,2.8
2025年第二季度,68725,104.2,,28343,33918,14624,18434,21155,11738,4241.57,1856.09,254.64,894.29,950.74,99.3,96.9,99.2,,,3.5
2025年第一季度,33526,104.1,,15421,18467,8021,9732,11155,6274,1909.96,748.23,92.50,457.37,485.74,97.0,101.2,102.9,,,2.5
2024年第四季度,141634,103.5,,51474,61629,26729,35818,41055,23057,9718.61,4706.31,603.41,1735.83,2097.81,95.3,100.6,94.1,,,0.8
2024年第三季度,102187,103.4,,41037,49247,21141,26773,30841,16912,6774.42,3208.03,424.19,1298.63,1439.70,97.3,108.3,,,,0.7
2024年第二季度,66640,103.9,,27127,32614,13831,17567,20175,11245,4087.35,1797.11,246.76,898.77,893.64,98.1,102.8,105.1,,,1.2
2024年第一季度,32406,104.4,,14714,17703,7559,9299,10657,6050,1823.05,701.92,91.61,448.26,468.77,101.9,97.2,107.3,,,3.8
2023年第四季度,137905,104.9,,49327,59307,25142,34331,39333,22209,9202.09,4430.96,562.69,1696.79,2005.31,103.3,96.9,102.1,,,5.8
2023年第三季度,99459,104.6,,39325,47390,19886,25481,29385,16069,6387.28,2988.30,369.17,1287.34,1390.50,106.2,95.9,,,,5.4
2023年第二季度,64880,105.1,,25956,31347,12961,16339,18774,10468,3953.42,1729.00,224.31,904.20,874.05,103.2,97.2,104.6,,,7.4
2023年第一季度,31227,104.2,,13867,16758,6985,8554,9806,5574,1821.78,709.53,87.11,461.84,462.58,105.7,101.2,101.0,,,5.1
2022年第四季度,132547,102.1,,47065,56905,23598,32169,36936,20800,8892.29,4308.23,549.15,1680.24,1898.24,102.5,103.2,102.6,,,1.6
2022年第三季度,94651,102.6,,37533,45465,18718,24219,27984,15288,6064.10,2938.28,353.67,1174.27,1289.76,100.1,106.0,,,,2.2
2022年第二季度,61404,102.3,,24749,30057,12158,15733,18103,10111,3654.18,1698.58,214.13,734.24,816.78,97.0,100.7,105.4,,,0.9
2022年第一季度,29406,103.6,,13360,16230,6639,8393,9639,5476,1659.05,689.83,87.23,348.29,443.76,97.8,93.7,104.2,,,1.7
2021年第四季度,127577,108.3,,44993,54854,22306,31589,36621,20012,8305.84,3951.14,495.44,1707.82,1747.34,98.6,101.4,103.9,,,9.9
2021年第三季度,90566,110.1,,35694,43592,17619,23286,27105,14546,5719.67,2604.85,311.26,1354.34,1177.47,101.5,95.5,,,,13.6
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
