数据库：分省季度数据
地区：广西壮族自治区
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,29727,105.1,,32721,44793,21149,22142,27163,17328,,,,,,91.9,94.6,100.0,116.6,,3.0
2025年第三季度,21487,105.3,,24216,33699,15248,16510,20868,12389,4088.83,1941.98,372.48,1114.31,392.57,90.9,89.5,,112.9,,3.2
2025年第二季度,13851,105.5,,16593,22592,10921,10887,13770,8160,2094.71,741.89,221.08,723.68,246.09,83.3,91.6,,114.4,,4.2
2025年第一季度,6834,105.8,,9221,12515,6138,5752,7225,4373,865.73,280.20,59.56,328.59,120.46,95.3,104.8,100.0,79.8,,3.6
2024年第四季度,28649,104.2,,31125,43044,19954,21150,26084,16525,7634.12,4523.39,598.68,1567.24,585.88,104.0,101.8,100.0,70.5,,1.6
2024年第三季度,20612,103.6,,23032,32379,14391,15744,20022,11790,4279.07,2096.14,352.87,1155.53,417.09,101.0,109.2,,70.2,,1.5
2024年第二季度,13295,103.6,,15740,21647,10278,10314,13018,7814,2171.39,811.21,210.78,728.63,264.77,109.1,107.2,103.9,72.4,,1.4
2024年第一季度,6453,103.1,,8721,11968,5750,5546,7001,4215,840.07,278.93,55.58,309.53,122.44,100.9,96.1,102.6,81.2,,1.1
2023年第四季度,27502,104.1,,29514,41287,18656,19749,24427,15435,7229.34,4253.52,543.70,1505.31,583.01,102.0,93.6,103.2,87.6,,1.3
2023年第三季度,19963,103.9,,21833,31056,13442,14809,18721,11250,3928.31,1852.03,310.39,1113.91,405.66,100.6,96.0,,88.7,,1.5
2023年第二季度,12893,102.8,,14874,20721,9555,9687,12293,7315,2033.34,725.65,186.33,713.86,258.32,110.0,104.8,,86.9,,3.8
2023年第一季度,6359,104.9,,8195,11406,5303,5105,6551,3802,849.74,290.58,51.88,320.89,116.09,106.1,100.5,101.2,95.7,,6.0
2022年第四季度,26420,102.8,,27981,39703,17433,18343,22438,14658,6938.53,3977.68,548.46,1509.55,575.80,99.8,107.2,101.4,95.8,,0.0
2022年第三季度,19050,102.9,,20746,29860,12655,13174,16548,10178,3788.71,1763.77,300.60,1098.33,391.59,105.5,112.1,,96.2,,1.0
2022年第二季度,12411,102.5,,14124,19845,9046,8746,10869,6861,1911.39,698.24,171.98,652.09,247.78,100.0,97.5,100.0,96.2,,0.1
2022年第一季度,5972,104.7,,7854,11053,5044,4671,5831,3651,827.13,304.66,49.10,295.76,111.64,93.1,92.4,100.0,98.4,,3.1
2021年第四季度,25312,107.9,,26727,38530,16363,18088,22555,14165,6524.39,3690.73,538.10,1437.58,555.06,100.6,93.6,100.0,101.3,,9.0
2021年第三季度,18300,109.4,,19855,29037,11902,12776,16269,9751,3638.02,1569.78,294.11,1187.89,369.37,95.6,85.8,,95.3,,12.4
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
