数据库：分省季度数据
地区：新疆维吾尔自治区
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,21462,105.5,,32881,45106,20793,22657,29702,15691,,,,,,94.5,106.3,93.9,110.9,,3.6
2025年第三季度,15568,105.5,,20060,33894,6586,17638,24228,11219,3968.02,2753.72,67.41,854.13,24.61,107.1,105.6,,114.5,,4.6
2025年第二季度,9846,105.7,,13040,23183,3160,11764,16068,7572,1295.75,603.50,45.31,558.32,13.32,98.0,102.6,,107.2,,7.5
2025年第一季度,4729,105.6,,6861,11282,2619,5838,8030,3734,307.23,23.65,13.20,247.06,5.88,106.7,94.9,,95.0,,6.7
2024年第四季度,20534,106.1,,30899,42820,19427,21364,28248,14738,5350.01,3747.24,56.86,1122.04,39.27,90.0,84.6,89.7,84.6,,2.0
2024年第三季度,14937,105.5,,18811,32142,6173,16646,23074,10551,3571.50,2439.54,53.24,817.16,18.33,98.7,91.4,,80.6,,0.6
2024年第二季度,9467,105.4,,12192,21949,2941,11092,15291,7112,1194.87,533.39,36.01,545.37,12.01,,89.0,,78.7,,0.2
2024年第一季度,4551,105.6,,6394,10639,2431,5468,7585,3491,301.38,25.16,9.88,245.22,5.38,108.2,88.5,,77.7,,-0.4
2023年第四季度,19603,107.0,,28947,40578,17948,19715,26134,13645,5648.25,3991.42,55.62,1210.60,33.56,82.7,105.9,107.8,80.2,,18.8
2023年第三季度,14255,106.3,,17614,30434,5673,15269,21306,9645,3725.21,2578.87,52.28,863.83,16.47,81.1,95.0,,90.1,,12.9
2023年第二季度,8991,105.4,,11378,20701,2693,10214,14131,6566,1238.09,534.28,36.58,595.59,10.39,107.5,96.7,,91.5,,6.4
2023年第一季度,4371,105.1,,5939,9999,2215,5021,7037,3171,321.08,25.18,10.66,266.20,4.90,91.7,101.1,,91.5,,5.1
2022年第四季度,18550,103.6,,27063,38410,16550,17927,24142,12169,5469.04,3753.98,53.50,1305.28,32.13,95.5,101.0,111.4,95.2,,-9.6
2022年第三季度,13689,104.3,,16554,28971,5222,14105,19921,8798,3551.34,2411.32,51.94,878.65,16.00,93.4,104.7,,90.2,,-4.4
2022年第二季度,8700,105.3,,10748,19791,2495,9607,13559,6001,1199.42,494.23,37.23,602.65,9.93,113.4,96.0,,84.4,,1.5
2022年第一季度,4178,107.4,,5713,9744,2090,4890,6893,3091,302.04,22.44,17.86,244.58,4.38,102.3,96.8,,94.4,,7.9
2021年第四季度,16792,107.4,,26075,37642,15575,18961,25724,12821,5143.12,3488.99,79.12,1265.69,35.95,143.9,115.4,100.2,99.9,,17.0
2021年第三季度,11914,109.3,,15684,27785,4864,13124,18840,8013,3243.71,2104.01,65.37,902.12,17.62,,103.5,,103.8,,24.6
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
