数据库：分省季度数据
地区：江苏省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,142352,105.3,,57971,68956,34147,38975,43917,28257,,,,,,98.6,97.5,,107.0,,3.3
2025年第三季度,102811,105.4,,44252,53001,25806,28700,32566,20551,5536.57,2850.16,109.56,832.38,1196.53,98.5,93.3,,110.7,,4.2
2025年第二季度,66968,105.7,,30706,36487,18431,19252,21871,13692,3399.18,1885.69,74.02,496.08,595.03,99.6,95.7,,111.0,,5.0
2025年第一季度,33089,105.9,,19046,21896,13067,10825,12106,8140,1294.00,589.10,42.15,273.89,223.11,98.8,96.9,,88.8,,5.6
2024年第四季度,137008,105.8,,55415,66173,32414,37346,42197,26975,9284.65,5010.93,196.37,1239.08,1995.01,106.7,101.5,,88.6,,4.6
2024年第三季度,99235,105.7,,42307,50801,24529,27296,31082,19369,5493.18,2838.65,113.06,847.99,1186.06,102.9,103.3,,86.6,,4.5
2024年第二季度,64424,105.8,,29194,34821,17415,17901,20331,12817,3335.11,1891.31,77.71,453.22,589.25,104.3,98.1,,79.9,,4.9
2024年第一季度,31422,106.2,,18086,20872,12325,10058,11068,7970,1247.45,587.24,44.28,239.95,219.39,118.1,97.8,,80.3,,6.0
2023年第四季度,130924,105.9,,52674,63211,30488,35491,40461,25029,8935.53,4844.11,188.42,1230.13,1903.21,101.5,94.4,,95.9,,6.5
2023年第三季度,95159,105.9,,40286,48634,23079,25843,29768,17752,5309.35,2731.23,108.74,867.01,1141.01,106.9,95.6,,99.0,,7.1
2023年第二季度,61823,106.7,,27795,33345,16353,16689,19245,11419,3282.76,1855.49,75.15,487.34,569.08,98.4,100.1,,93.8,,10.0
2023年第一季度,29959,104.8,,17183,19955,11536,9343,10569,6846,1233.82,588.07,43.38,247.95,211.65,104.9,103.4,,101.1,,7.8
2022年第四季度,124564,102.7,,49862,60178,28486,32848,37796,22597,8733.80,4685.72,185.65,1294.18,1856.93,106.7,107.6,,96.4,,0.1
2022年第三季度,90340,102.3,,38114,46250,21605,23762,27638,15896,5149.65,2652.96,107.15,865.77,1100.36,112.5,109.4,,98.7,,-0.3
2022年第二季度,57979,101.6,,26329,31762,15305,15296,17818,10180,3134.85,1782.28,75.12,454.57,552.46,112.0,98.1,,95.8,,-3.7
2022年第一季度,28388,104.6,,16490,19251,10952,8662,9840,6300,1149.91,533.96,42.89,226.63,213.66,98.5,93.3,,102.0,,0.5
2021年第四季度,119853,109.1,,47498,57743,26791,31451,36558,21130,8279.72,4426.06,178.15,1215.87,1833.51,99.0,95.5,,103.3,,15.1
2021年第三季度,87014,110.7,,36227,44267,20267,22701,26677,14807,4864.75,2460.33,104.61,850.17,1076.45,103.9,91.8,,102.0,,19.5
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
