数据库：分省季度数据
地区：江西省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,36020,105.2,,37846,49580,23956,26094,30249,21175,,,,,,102.2,96.7,,118.7,,4.7
2025年第三季度,25680,105.4,,27054,36432,16171,18222,21396,14540,2700.26,1069.05,230.75,741.03,429.82,101.2,94.3,,100.7,,5.2
2025年第二季度,16720,105.6,,17556,24087,9978,12039,14235,9492,1458.81,460.62,147.02,441.12,249.48,98.5,97.4,,,,5.3
2025年第一季度,7927,105.7,,9850,13055,6184,6606,7701,5352,730.71,199.69,63.75,237.73,157.63,103.4,102.3,,,,5.5
2024年第四季度,34202,105.1,,36007,47514,22673,24726,29070,19692,4494.06,2167.96,433.11,1034.63,574.12,99.6,102.5,,87.3,,4.9
2024年第三季度,24551,104.7,,25760,34961,15307,17317,20700,13473,2651.81,1042.19,231.07,758.73,406.88,93.2,104.3,,,,5.1
2024年第二季度,15912,104.5,,16679,23052,9441,11379,13592,8866,1421.37,454.56,147.22,433.79,235.75,98.2,103.2,,,,4.9
2024年第一季度,7505,104.0,,9329,12456,5827,6221,7379,4925,705.62,193.84,65.93,227.74,150.27,102.4,98.9,,,,4.8
2023年第四季度,32677,104.2,,34242,45554,21358,23379,27733,18421,4198.93,2003.39,399.77,978.34,554.10,93.3,92.5,,77.3,,6.3
2023年第三季度,23571,103.5,,24519,33560,14423,16400,19931,12458,2463.80,943.35,212.82,716.55,393.78,97.9,94.7,,,,6.1
2023年第二季度,15357,102.5,,15872,22144,8868,10590,12792,8131,1354.94,431.34,134.82,424.39,225.06,101.6,97.0,,,,5.9
2023年第一季度,7307,101.3,,8823,11918,5417,5766,6916,4500,698.78,196.90,62.16,229.90,145.53,118.3,100.6,,,,3.4
2022年第四季度,31568,104.3,,32419,43697,19936,21708,25976,16984,4223.81,1916.68,416.89,1094.39,553.16,102.9,104.9,,98.7,,5.3
2022年第三季度,22967,104.6,,23279,32237,13557,15218,18633,11512,2470.86,886.70,217.55,793.45,394.57,107.3,105.7,,,,6.0
2022年第二季度,14968,104.5,,15062,21255,8341,9940,12163,7528,1316.52,363.65,138.02,463.00,227.78,111.4,94.6,,,,5.6
2022年第一季度,7163,106.5,,8391,11464,5104,5442,6576,4229,640.44,138.71,66.02,230.78,145.07,101.1,85.7,,,,8.9
2021年第四季度,29838,108.9,,30610,41684,18684,20290,24587,15663,3998.09,1796.31,398.91,1051.36,548.31,97.3,94.1,,103.5,,17.7
2021年第三季度,21654,110.4,,21883,30643,12635,14129,17487,10585,2405.24,830.01,208.64,832.07,384.19,101.5,96.2,,105.6,,23.1
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
