数据库：分省季度数据
地区：河北省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,49305,105.6,,36439,47544,23319,25464,30522,19488,,,,,,91.2,99.0,,115.4,,5.6
2025年第三季度,35548,105.5,,26863,34964,17630,17983,21532,13937,4739.23,2160.75,165.01,1756.53,172.99,91.7,91.4,,109.5,,5.5
2025年第二季度,22966,105.4,,17795,22872,12008,11822,14107,9219,2864.58,1310.03,113.18,1095.17,63.48,92.1,98.7,,108.8,,5.8
2025年第一季度,11247,105.7,,9220,12019,6101,6510,7814,5057,996.06,297.25,30.72,542.22,19.92,89.4,92.6,,95.0,,5.6
2024年第四季度,47527,105.4,,34665,45610,22022,24253,29310,18412,7916.10,4166.75,267.80,2374.82,363.46,90.8,95.4,,80.8,,5.5
2024年第三季度,34456,105.0,,25547,33539,16641,17092,20635,13144,4767.96,2185.19,161.54,1813.70,157.53,54.9,100.7,,77.2,,4.8
2024年第二季度,22410,105.0,,16899,21879,11350,11180,13440,8662,2879.52,1310.34,109.77,1136.98,59.19,86.2,92.5,,76.9,,4.5
2024年第一季度,10928,105.6,,8729,11465,5748,6178,7472,4769,1037.85,312.73,29.72,577.94,19.25,93.4,90.3,,74.2,,4.4
2023年第四季度,45660,105.7,,32903,43631,20688,22920,27906,17244,7770.85,4081.04,259.13,2394.97,351.21,90.0,93.6,,91.4,,9.6
2023年第三季度,33206,105.4,,24243,32080,15633,15949,19307,12261,4622.15,2087.26,154.71,1821.52,147.70,116.4,91.8,,96.6,,8.2
2023年第二季度,21605,106.3,,16006,20888,10643,10414,12532,8087,2863.41,1285.45,105.37,1175.33,56.83,136.2,98.7,,93.0,,10.8
2023年第一季度,10449,105.4,,8257,10932,5384,5789,6984,4506,1058.81,311.12,28.33,612.88,17.46,129.1,101.4,,100.5,,8.7
2022年第四季度,43198,103.8,,30867,41278,19364,20890,25071,16271,7667.41,4035.67,266.56,2391.71,342.29,113.0,113.0,,106.5,,1.6
2022年第三季度,31391,103.7,,22783,30455,14605,14943,18043,11639,4523.57,2057.65,150.50,1798.04,137.99,106.6,115.0,,95.4,,4.5
2022年第二季度,20312,103.4,,14998,19792,9888,9743,11736,7618,2739.67,1256.98,101.52,1106.92,51.50,104.5,98.0,,103.4,,3.0
2022年第一季度,9797,105.2,,7863,10524,5089,5474,6584,4316,997.60,303.94,26.00,569.36,15.79,77.5,96.2,,105.1,,7.1
2021年第四季度,41205,106.7,,29383,39791,18179,19954,24192,15391,7018.67,3645.02,263.66,2239.50,298.02,99.8,102.6,,95.6,,6.3
2021年第三季度,29505,107.9,,21643,29274,13716,13986,17165,10684,4184.32,1830.22,152.23,1731.97,126.44,,106.9,,104.1,,9.7
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
