数据库：分省季度数据
地区：河南省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,66633,105.6,,33215,43926,22550,22850,27319,18401,,,,,,90.2,94.6,93.1,107.9,,5.6
2025年第三季度,48868,105.6,,23680,32405,15274,16913,20305,13644,8538.58,5822.43,159.10,1719.09,106.81,96.1,92.6,,107.3,,6.2
2025年第二季度,31684,105.7,,15781,21981,9807,11376,13667,9170,4672.29,2839.53,96.26,1190.17,76.39,89.4,93.8,,107.0,,7.2
2025年第一季度,14946,105.9,,8752,11917,5749,6070,7183,5015,1337.65,362.98,53.54,712.47,39.62,91.4,96.3,,74.6,,7.0
2024年第四季度,63590,105.1,,31552,42027,21330,21956,26507,17515,10632.62,6680.45,176.11,2609.89,144.65,90.3,103.9,,76.2,,6.1
2024年第三季度,46775,105.0,,22494,30975,14488,16077,19631,12722,8459.38,5754.81,139.46,1794.16,99.65,81.1,103.8,,77.0,,5.7
2024年第二季度,30217,104.9,,14962,20975,9285,10835,13157,8642,4473.12,2698.36,81.78,1192.19,67.31,94.9,101.6,,77.7,,5.6
2024年第一季度,14209,104.7,,8278,11352,5420,5803,6972,4716,1321.52,362.38,46.62,718.15,35.68,90.3,90.3,,81.6,,5.6
2023年第四季度,60628,104.2,,29933,40234,20053,21011,25570,16638,10304.58,6471.19,162.24,2595.99,141.51,98.9,81.9,,91.7,,6.5
2023年第三季度,44757,103.9,,21344,29672,13618,15400,18946,12110,8227.01,5661.20,128.80,1726.91,97.76,110.4,88.4,,95.3,,5.0
2023年第二季度,28938,103.9,,14156,20045,8692,10275,12596,8122,4310.58,2539.53,73.25,1235.72,66.08,122.4,98.4,,89.6,,5.8
2023年第一季度,13710,105.2,,7804,10833,5037,5369,6509,4328,1343.75,348.83,41.41,774.36,34.74,129.4,108.0,,94.9,,8.2
2022年第四季度,58807,102.4,,28222,38484,18697,19019,23539,14824,10952.24,6948.30,149.55,2832.30,147.45,101.2,123.3,,98.8,,0.1
2022年第三季度,44632,102.9,,20174,28411,12747,14132,17510,11087,8616.00,5980.63,119.80,1850.63,102.09,121.8,113.3,,93.6,,1.9
2022年第二季度,29123,102.3,,13322,19124,8091,9412,11667,7379,4421.39,2739.32,68.40,1177.50,73.01,103.7,91.3,,96.6,,0.3
2022年第一季度,13482,103.9,,7419,10414,4760,4992,6157,3957,1267.19,348.21,41.02,705.85,37.90,91.5,86.4,,100.8,,3.5
2021年第四季度,57807,105.9,,26811,37095,17533,18391,23178,14073,10501.20,6564.83,134.08,2942.06,143.41,95.5,96.7,,101.1,,8.3
2021年第三季度,43187,108.5,,19094,27203,11987,13400,16917,10317,8107.09,5274.81,113.64,2143.13,94.36,96.1,97.1,,100.7,,11.1
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
