数据库：分省季度数据
地区：浙江省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,94545,105.5,,70240,81649,45154,47551,53223,35078,,,,,,97.3,96.4,86.2,,,4.0
2025年第三季度,68495,105.7,,54653,63079,36383,35151,39192,26391,2872.97,1380.32,165.47,286.33,923.62,105.3,95.8,,,,5.2
2025年第二季度,45004,105.8,,37813,43293,25986,23397,25801,18208,1906.27,896.00,135.92,202.45,595.24,100.3,98.8,,,,5.3
2025年第一季度,22300,106.0,,22477,25990,15043,12559,13924,9668,796.26,277.83,30.28,105.46,344.45,90.9,107.1,92.0,,,4.5
2024年第四季度,90131,105.5,,67013,78251,42786,45107,50704,33043,4171.74,1960.09,202.61,410.06,1450.01,104.1,108.9,102.4,,,4.0
2024年第三季度,65059,105.4,,52206,60516,34539,33547,37562,25012,2665.80,1309.64,155.05,282.66,809.10,112.7,107.5,,,,4.2
2024年第二季度,42554,105.6,,35982,41365,24589,22154,24536,17112,1717.38,827.05,122.81,184.86,511.09,99.4,97.3,,,,4.5
2024年第一季度,21011,106.1,,21352,24796,14203,11794,13155,8970,653.44,237.55,28.39,95.41,256.36,91.7,95.3,93.1,,,5.9
2023年第四季度,85620,106.2,,63830,74997,40311,42194,47762,30468,3978.02,1871.94,198.25,393.16,1375.25,109.4,97.2,95.9,,,6.8
2023年第三季度,62211,106.5,,49821,58121,32578,31390,35388,23085,2519.54,1262.40,130.24,269.95,752.88,99.0,96.9,,,,6.7
2023年第二季度,40729,107.0,,34317,39728,23126,20667,23060,15720,1661.60,832.37,108.38,178.19,474.20,99.5,104.7,,,,9.1
2023年第一季度,19925,105.1,,20158,23589,13198,10666,11949,8063,633.42,246.06,16.08,92.70,244.45,128.3,104.9,103.5,,,5.4
2022年第四季度,80770,103.4,,60302,71268,37565,38971,44511,27483,3752.31,1769.83,183.01,405.66,1261.18,127.3,107.0,97.8,,,4.3
2022年第三季度,58244,103.4,,47023,55132,30438,28794,32672,20864,2330.51,1202.73,114.10,266.09,648.84,100.0,106.8,,,,4.2
2022年第二季度,37834,102.8,,32443,37749,21639,18995,21333,14236,1513.01,767.48,106.01,164.83,409.91,102.9,99.4,,,,2.0
2022年第一季度,18686,105.4,,19366,22784,12541,10152,11400,7660,581.08,229.88,21.20,83.50,214.30,97.9,98.4,86.9,,,5.5
2021年第四季度,76765,108.9,,57541,68487,35247,36668,42193,25415,3579.21,1697.86,168.25,402.74,1188.32,103.0,101.2,,,,9.7
2021年第三季度,54919,111.1,,44712,52758,28474,27060,30934,19243,2277.23,1153.79,117.01,292.03,623.74,111.0,98.9,,,,12.9
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
