数据库：分省季度数据
地区：海南省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,8109,104.0,,36306,45829,23307,27147,32651,19634,,,,,,100.0,97.7,100.0,103.3,,5.0
2025年第三季度,5687,103.9,,26930,33990,17507,20153,24523,14321,1851.81,973.52,107.61,237.78,449.56,116.7,96.0,110.0,100.0,,8.6
2025年第二季度,3702,104.2,,19215,23800,13096,13457,16251,9729,1291.85,697.22,56.84,161.16,319.77,73.4,97.1,,97.5,,11.2
2025年第一季度,1904,104.0,,9803,12536,6193,7088,8639,5040,610.76,307.19,15.26,94.19,174.32,,99.2,101.5,86.8,,4.2
2024年第四季度,7936,103.7,,34829,44307,22146,25908,31507,18415,2605.41,1404.94,156.01,317.25,595.03,84.1,116.0,98.6,69.9,,-4.2
2024年第三季度,5622,103.2,,25760,32764,16596,19231,23627,13479,1827.86,1021.45,89.01,223.44,420.98,120.0,115.5,105.3,79.1,,-6.2
2024年第二季度,3634,103.1,,18302,22858,12343,12908,15766,9168,1250.63,700.39,43.10,148.64,309.09,99.3,107.5,,93.3,,-6.2
2024年第一季度,1858,103.3,,9295,11992,5804,6887,8537,4751,579.96,309.70,4.09,89.16,159.14,,89.0,114.1,89.3,,-4.2
2023年第四季度,7590,109.2,,33192,42661,20708,23752,28930,16924,2410.33,1319.74,111.41,334.24,523.04,92.7,102.6,120.2,89.9,,10.7
2023年第三季度,5411,109.5,,24573,31603,15511,17504,21533,12310,1752.61,1021.63,72.15,222.06,373.39,,95.6,121.6,102.9,,12.1
2023年第二季度,3553,108.6,,17414,22016,11482,11746,14389,8339,1261.59,763.52,34.65,147.81,271.77,111.8,96.7,,105.8,,9.2
2023年第一季度,1828,106.8,,8770,11421,5388,6222,7748,4276,633.33,381.96,3.47,94.89,136.96,,102.6,96.3,97.1,,6.7
2022年第四季度,6913,100.4,,30957,40118,19117,21500,26418,15145,2272.04,1236.81,118.69,340.48,466.61,105.0,98.3,120.4,100.0,,-9.2
2022年第三季度,4883,99.9,,22886,29633,14359,15728,19459,11012,1656.87,963.87,79.70,228.54,328.69,120.0,104.7,,111.7,,-7.5
2022年第二季度,3213,102.0,,16230,20653,10640,10884,13445,7649,1201.55,728.95,41.37,144.46,248.68,97.0,121.3,,105.7,,-5.9
2022年第一季度,1641,106.6,,8373,11010,5075,5847,7273,4063,587.76,361.06,3.07,89.24,119.96,,116.9,100.0,112.9,,4.8
2021年第四季度,6509,111.4,,30457,40213,18076,22242,27565,15487,2014.79,1049.56,118.25,327.65,435.16,80.0,105.5,100.1,102.1,,26.5
2021年第三季度,4541,113.2,,22735,30055,13650,16046,20059,11067,1426.85,746.61,79.35,232.51,318.91,80.0,105.7,,120.0,,31.9
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
