数据库：分省季度数据
地区：湖北省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,62661,105.5,,38881,49164,23921,28769,33376,22067,,,,,,102.5,93.5,,100.9,,2.7
2025年第三季度,44876,106.0,,28036,36460,15938,21012,24605,15852,6734.79,3393.86,212.91,1237.39,1255.19,96.1,92.2,,106.1,,5.2
2025年第二季度,29643,106.2,,18930,24987,10231,13991,16282,10702,3414.35,1367.51,147.51,824.85,768.91,99.3,98.4,,99.3,,6.9
2025年第一季度,13543,106.3,,11075,14077,6826,7677,8861,6002,1387.48,355.75,45.25,441.85,434.04,,101.6,,92.4,,7.3
2024年第四季度,60013,105.8,,36947,46987,22580,27888,32473,21326,9844.05,4845.67,408.16,1986.43,1727.01,95.1,100.6,,92.2,,5.1
2024年第三季度,42469,105.7,,26636,34811,15087,20514,24241,15251,6788.31,3562.18,180.86,1315.62,1147.51,93.4,100.6,,79.0,,5.1
2024年第二季度,27907,105.8,,17978,23857,9675,13667,16128,10190,3298.58,1349.84,127.90,814.42,725.54,93.4,100.1,,84.1,,5.5
2024年第一季度,12730,106.1,,10512,13434,6443,7412,8681,5646,1354.49,363.27,39.49,424.14,424.79,,96.5,,94.7,,6.5
2023年第四季度,56794,106.1,,35146,44990,21293,27106,31500,20922,9106.87,4428.78,356.25,1934.32,1602.02,102.2,94.1,,90.3,,8.5
2023年第三季度,40560,106.2,,25382,33411,14230,19701,23035,15071,6275.26,3236.85,157.24,1301.13,1060.12,98.4,95.3,,96.3,,8.5
2023年第二季度,26489,105.7,,17146,22935,9105,12719,14862,9742,3189.41,1322.12,110.99,832.46,664.95,90.6,98.8,,96.4,,9.0
2023年第一季度,12014,105.3,,9960,12837,6020,6811,7802,5454,1282.37,333.73,32.54,439.69,380.24,,102.8,,96.8,,7.9
2022年第四季度,53445,104.0,,32914,42626,19709,24828,29121,18991,8939.33,4193.14,311.22,2128.19,1584.34,111.8,107.4,,115.6,,2.8
2022年第三季度,37885,104.5,,23847,31747,13244,18014,21397,13474,6121.66,3107.49,133.03,1341.12,1059.89,109.4,113.5,,105.3,,4.8
2022年第二季度,24691,104.3,,16131,21813,8507,12031,14237,9071,2999.06,1217.83,90.40,819.38,634.78,111.8,100.6,,98.8,,3.9
2022年第一季度,11150,106.5,,9448,12296,5680,6559,7505,5308,1231.41,332.14,25.21,422.13,363.49,115.4,87.0,,98.9,,7.8
2021年第四季度,50093,112.9,,30829,40278,18259,23846,28506,17647,8296.44,3912.47,302.70,1990.16,1458.88,103.2,100.4,,101.1,,19.9
2021年第三季度,34618,118.8,,22271,29918,12229,17023,20512,12442,5846.80,2872.62,138.35,1453.65,970.77,113.0,100.3,,104.5,,22.0
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
