数据库：分省季度数据
地区：湖南省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,55309,104.8,,39545,53369,23501,27882,33678,21156,,,,,,93.6,93.1,,117.6,,3.6
2025年第三季度,40241,105.4,,28248,38564,16571,19694,24252,14534,5613.53,3019.65,214.28,1472.10,530.88,91.5,95.3,,105.4,,5.5
2025年第二季度,26166,105.6,,18882,25821,11028,13175,16049,9922,3331.34,1679.61,162.90,956.18,340.80,101.1,100.1,,92.3,,6.2
2025年第一季度,12702,105.4,,10860,14705,6568,7197,8741,5474,1409.44,563.52,10.28,596.50,145.31,88.7,100.6,,82.5,,5.6
2024年第四季度,53231,104.8,,37679,51243,22204,26760,32625,20068,8715.68,4441.92,554.92,2301.73,683.89,94.3,103.4,,69.5,,5.4
2024年第三季度,38401,104.5,,26861,36926,15659,18778,23294,13752,5531.85,2967.04,202.28,1505.04,504.10,94.8,109.2,,65.8,,5.5
2024年第二季度,24875,104.5,,17937,24676,10438,12566,15405,9408,3231.60,1646.08,154.19,924.08,327.42,98.0,96.6,,78.5,,5.7
2024年第一季度,12067,104.8,,10288,14013,6200,6902,8458,5194,1336.71,541.71,10.46,558.33,138.41,,99.9,,79.8,,6.7
2023年第四季度,50667,104.7,,35895,49243,20921,25462,31035,19210,8199.35,4141.54,513.65,2232.06,635.03,99.2,91.8,,88.5,,6.1
2023年第三季度,36854,104.1,,25591,35484,14766,17825,22187,13051,5178.87,2730.45,182.05,1481.37,459.15,97.6,94.4,,99.9,,5.0
2023年第二季度,23934,103.7,,17070,23689,9827,11956,14715,8936,3143.03,1610.31,135.15,927.11,304.19,100.9,96.9,,91.3,,6.6
2023年第一季度,11569,104.2,,9734,13394,5784,6536,8050,4902,1340.98,536.62,9.75,583.74,129.42,203.7,104.9,,94.5,,5.9
2022年第四季度,47958,104.2,,34036,47301,19546,24083,29580,18078,8160.13,3973.21,477.44,2466.86,617.81,105.5,112.6,,92.0,,2.4
2022年第三季度,34997,104.5,,24282,34087,13834,16923,21250,12313,5015.58,2601.21,170.10,1492.52,449.16,107.4,117.0,,96.6,,3.1
2022年第二季度,22711,104.0,,16128,22639,9190,11456,14229,8502,2942.82,1482.73,126.38,878.97,301.13,108.0,94.9,,96.2,,1.5
2022年第一季度,10953,105.7,,9259,12860,5476,6277,7774,4704,1266.45,493.21,9.40,556.08,133.04,93.8,96.3,,93.7,,4.4
2021年第四季度,45752,107.6,,31993,44866,18295,22798,28294,16951,7662.36,3532.87,455.82,2542.51,570.82,95.7,94.3,,107.0,,14.4
2021年第三季度,32837,108.8,,22763,32249,12917,15919,20200,11475,4769.59,2245.77,156.16,1681.02,409.08,116.2,85.4,,97.8,,19.1
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
