数据库：分省季度数据
地区：甘肃省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,13698,105.8,,28224,43910,15001,20781,29052,13808,,,,,,105.2,99.5,,108.8,,2.5
2025年第三季度,9970,106.1,,20265,32736,10003,14969,21467,9623,2401.44,1692.44,5.31,519.84,1.37,99.2,105.7,,97.0,,2.7
2025年第二季度,6469,106.3,,13029,20896,6555,9878,14196,6325,820.04,349.88,4.30,329.76,1.06,94.3,99.2,,95.3,,3.9
2025年第一季度,3119,106.2,,7182,11106,3995,5402,7451,3738,385.79,152.26,1.37,174.95,0.27,,94.9,,79.7,,3.6
2024年第四季度,13003,105.8,,26612,41842,14105,19829,28013,13107,2930.85,1977.88,36.92,711.74,1.85,88.1,92.2,,84.3,,4.1
2024年第三季度,9514,106.0,,19108,31201,9415,14290,20712,9143,2249.63,1594.15,5.28,478.27,1.32,,93.8,,88.0,,3.9
2024年第二季度,6159,105.8,,12255,19864,6157,9354,13576,5970,786.82,351.20,3.98,304.65,0.99,110.0,98.8,,104.3,,3.8
2024年第一季度,2958,105.9,,6743,10546,3735,5189,7251,3558,383.44,164.97,1.27,164.44,0.25,,97.4,,98.8,,4.6
2023年第四季度,12346,106.6,,25011,39833,13131,19013,27044,12575,2927.69,2001.64,37.26,700.13,1.77,97.7,103.1,,97.2,,10.4
2023年第三季度,9003,106.8,,18003,29826,8756,13695,20085,8697,2283.95,1660.38,5.30,459.93,1.25,107.0,101.8,,97.7,,9.2
2023年第二季度,5779,107.0,,11530,18970,5710,8908,13030,5683,752.46,337.41,4.56,293.98,0.92,100.0,104.0,,96.8,,9.2
2023年第一季度,2789,106.9,,6335,10014,3496,4819,6753,3326,368.09,155.43,1.32,162.62,0.23,,106.1,,99.9,,8.8
2022年第四季度,11554,104.6,,23273,37572,12165,17489,25207,11494,2680.74,1806.43,36.43,662.23,1.75,105.4,111.5,,94.7,,-2.8
2022年第三季度,8423,104.1,,16732,28100,8114,12486,18590,7858,2101.90,1518.24,5.15,432.52,1.18,107.7,106.1,,96.6,,-1.4
2022年第二季度,5427,104.2,,10672,17782,5283,8261,12254,5234,707.13,318.46,4.45,275.85,0.87,107.1,94.8,,84.4,,-0.9
2022年第一季度,2570,105.3,,6068,9765,3302,4540,6470,3096,340.40,142.67,1.05,151.09,0.21,,93.9,,97.5,,1.3
2021年第四季度,10608,107.1,,22066,36187,11433,17456,25757,11206,2439.54,1623.21,32.82,619.85,1.96,109.3,104.1,107.5,96.5,,11.1
2021年第三季度,7627,108.7,,15819,26947,7642,12172,18515,7512,1913.68,1329.51,5.36,443.94,1.18,102.1,107.4,,95.1,,18.0
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
