数据库：分省季度数据
地区：福建省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,60199,105.0,,50302,61437,30162,35631,41729,24602,,,,,,100.0,97.8,,,,4.4
2025年第三季度,42340,105.2,,39213,48644,22245,25998,30748,17451,3653.30,1274.23,233.10,731.66,1261.53,101.2,94.0,,,,5.4
2025年第二季度,27997,105.7,,26478,33197,14546,17107,20210,11598,2241.34,620.31,149.94,461.87,913.06,,97.9,,,,6.0
2025年第一季度,13232,105.7,,14600,18605,7568,9053,10620,6301,983.81,206.12,70.82,245.82,411.48,,100.1,,,,5.4
2024年第四季度,57761,105.5,,47857,58763,28525,33876,39910,23179,5854.87,2319.88,458.71,1099.83,1761.18,100.0,101.0,,,,4.4
2024年第三季度,40594,105.5,,37266,46493,20997,24677,29373,16398,3618.84,1248.61,238.40,756.68,1228.22,98.5,100.5,,,,4.5
2024年第二季度,26669,105.6,,25122,31687,13695,16200,19252,10889,2195.75,585.92,155.15,472.83,889.45,,94.9,,,,5.0
2024年第一季度,12552,105.8,,13822,17722,7110,8531,10063,5895,948.00,194.40,68.77,239.86,397.43,,97.6,,,,5.9
2023年第四季度,54802,104.5,,45426,56153,26722,31869,37674,21746,5729.21,2193.52,454.75,1083.36,1789.56,101.3,98.6,,,,5.0
2023年第三季度,38792,104.1,,35439,44497,19667,23262,27879,15221,3561.12,1201.55,247.49,730.66,1238.89,104.5,98.4,,,,4.3
2023年第二季度,25352,103.8,,23809,30224,12783,15125,18077,10050,2193.71,584.94,160.79,463.71,894.53,,101.0,,,,4.2
2023年第一季度,11979,101.7,,13054,16870,6567,7994,9503,5430,929.97,195.14,63.48,240.47,384.75,,102.6,,,,3.5
2022年第四季度,52100,104.2,,43118,53817,24987,30042,35692,20467,5502.56,2065.66,429.92,1066.25,1740.75,100.7,105.4,,,,3.3
2022年第三季度,37072,104.7,,33707,42728,18443,21780,26263,14194,3405.51,1124.67,233.63,705.86,1205.61,100.2,105.7,,,,4.1
2022年第二季度,24258,104.1,,22594,28948,11977,14385,17378,9385,2081.83,562.55,147.32,432.93,854.05,,102.4,,,,3.0
2022年第一季度,11694,106.2,,12500,16300,6221,7581,9091,5085,872.23,189.94,60.33,218.60,359.81,,94.5,,,,7.0
2021年第四季度,49603,108.3,,40659,51140,23229,28440,33942,19290,5200.97,1906.02,424.87,1059.91,1621.51,101.4,99.2,,,,9.4
2021年第三季度,35593,109.2,,31781,40577,17173,20742,25221,13305,3229.16,1039.42,228.80,766.98,1066.31,107.4,102.6,,,,12.1
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
