数据库：分省季度数据
地区：西藏自治区
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,3032,107.0,,33600,58794,23184,20501,33281,15218,,,,,,,,,,,4.4
2025年第三季度,2070,107.1,,23357,45434,14540,13981,26137,9127,201.83,90.90,7.97,97.44,0.10,,,,,,4.5
2025年第二季度,1383,107.2,,13364,28741,7222,9552,18054,6156,92.80,33.83,6.06,49.88,0.07,,96.9,,102.0,,5.5
2025年第一季度,717,107.9,,6029,13703,2988,5202,9851,3360,26.22,4.42,0.45,20.22,0.03,,,,,,11.1
2024年第四季度,2765,106.3,,31358,55444,21578,18983,31292,13985,361.92,148.04,10.11,195.12,0.35,,,,,,7.2
2024年第三季度,1894,106.2,,21777,42766,13547,12932,24660,8334,184.42,85.00,6.84,87.47,0.06,,,,,,6.2
2024年第二季度,1263,106.1,,12416,26967,6711,8718,16812,5544,84.68,31.42,5.03,45.31,0.04,,,,,,3.8
2024年第一季度,644,105.1,,5576,12803,2764,4661,8883,3019,23.98,4.72,0.40,17.76,0.02,,,,,,-0.4
2023年第四季度,2533,109.7,,28983,51900,19924,17220,28858,12619,320.14,132.60,9.51,169.97,0.28,,,,,,21.1
2023年第三季度,1754,110.0,,20147,40145,12516,11854,23036,7586,160.20,74.28,5.38,76.04,0.01,,,,,,18.8
2023年第二季度,1153,108.6,,11482,25350,6190,8029,15823,5055,72.69,26.27,4.46,39.42,0.01,,,,,,8.3
2023年第一季度,621,108.4,,5128,11996,2528,4206,8208,2691,21.00,4.93,0.31,14.78,0.00,,,,,,6.6
2022年第四季度,2235,101.4,,26675,48753,18209,15886,28265,11139,278.62,120.95,6.96,143.40,0.22,,,,,,-10.3
2022年第三季度,1539,100.5,,18646,37932,11510,11075,22624,6802,165.44,85.09,2.72,73.65,0.02,,,,,,-4.8
2022年第二季度,1025,105.1,,10639,23975,5705,7522,15472,4581,68.11,26.36,3.96,35.50,0.01,,,,,,1.5
2022年第一季度,544,106.7,,4832,11527,2376,3922,8003,2424,20.76,4.60,0.33,14.85,0.00,,,,,,3.9
2021年第四季度,2145,107.0,,24950,46503,16932,15342,28159,10577,255.34,115.31,3.97,129.32,0.29,,,,,,8.7
2021年第三季度,1478,107.5,,17081,35517,10470,10127,20521,6399,146.52,73.08,2.63,66.95,0.02,,,,,,8.6
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
