数据库：分省季度数据
地区：贵州省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,23562,104.9,,30001,46289,16764,21770,29434,15542,,,,,,102.0,93.4,103.2,100.9,,1.7
2025年第三季度,17352,104.9,,21923,35133,11453,15810,21896,10986,3764.08,2590.64,266.23,675.87,74.79,103.3,94.8,,102.6,,3.8
2025年第二季度,11452,105.3,,14569,23681,7346,10683,14973,7284,2044.47,1240.10,181.35,472.92,46.08,101.8,98.7,,102.5,,4.0
2025年第一季度,5598,105.3,,7698,12360,4074,5748,7567,4333,837.31,367.63,99.82,294.45,24.17,98.7,104.5,106.2,96.8,,3.0
2024年第四季度,22667,105.3,,28561,44558,15856,20871,28512,14802,5109.12,3483.72,362.34,922.18,86.28,102.4,103.6,116.6,83.0,,3.7
2024年第三季度,16671,105.2,,20866,33827,10826,15170,21239,10469,3705.04,2584.94,239.92,659.53,69.91,99.0,108.9,,82.9,,3.4
2024年第二季度,11076,105.3,,13822,22722,6927,10149,14347,6897,1976.03,1224.20,161.84,448.28,41.29,95.9,104.2,,90.9,,5.5
2024年第一季度,5360,105.5,,7273,11818,3820,5381,7086,4085,796.24,360.74,88.63,275.76,21.71,104.6,92.7,109.7,84.7,,8.2
2023年第四季度,21514,105.1,,27098,42772,14817,20161,27693,14260,4953.61,3360.32,358.49,907.86,81.19,109.6,91.9,105.2,95.6,,5.9
2023年第三季度,15810,105.0,,19814,32516,10108,14512,20547,9901,3616.70,2511.69,238.79,655.86,64.86,105.1,92.6,,92.0,,6.8
2023年第二季度,10534,104.6,,13120,21841,6456,9463,13436,6427,1952.39,1199.89,160.96,455.15,39.37,107.9,101.9,,94.2,,5.7
2023年第一季度,5096,102.7,,6849,11273,3533,4811,6521,3528,802.98,350.49,89.72,293.02,21.83,102.4,102.9,102.8,98.7,,2.1
2022年第四季度,20580,101.2,,25508,41086,13707,17939,24230,13172,4908.67,3313.70,340.00,941.40,79.60,106.7,108.6,103.4,98.4,,-4.5
2022年第三季度,15091,102.8,,18702,31327,9375,13283,18755,9240,3567.34,2488.26,230.08,652.55,58.90,109.2,109.3,,102.2,,-2.1
2022年第二季度,10042,104.5,,12372,21029,5975,8777,12400,6100,1888.48,1170.74,152.73,438.29,34.87,102.8,88.9,,94.9,,-0.5
2022年第一季度,4931,106.6,,6546,10979,3334,4658,6500,3323,780.32,355.51,79.91,281.04,18.57,103.4,71.6,124.2,99.4,,4.7
2021年第四季度,19921,108.3,,23996,39211,12856,17957,25333,12557,4691.97,3123.71,319.82,958.96,69.83,104.0,88.4,97.1,104.3,,13.7
2021年第三季度,14155,108.9,,17428,29601,8737,13030,19109,8690,3422.98,2314.43,215.33,714.04,51.58,103.0,78.9,,104.3,,16.1
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
