数据库：分省季度数据
地区：辽宁省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,33183,103.7,,41703,50057,23942,26933,31428,17374,,,,,,107.1,96.7,,105.7,,1.4
2025年第三季度,24284,104.3,,31441,37493,18691,19623,23041,12422,3241.75,1050.70,75.79,1200.57,784.05,,92.3,,115.1,,4.1
2025年第二季度,15708,104.7,,21343,25128,13368,13335,15647,8463,1985.07,554.71,55.40,854.97,439.95,,96.3,,104.0,,6.3
2025年第一季度,7607,105.2,,11446,13077,8067,6974,8136,4567,653.18,135.18,16.36,404.07,79.57,88.9,92.7,,82.7,,6.7
2024年第四季度,32613,105.1,,39844,47982,22744,25963,30350,16742,5125.35,2178.85,136.30,1664.13,953.20,75.4,95.6,,80.8,,4.0
2024年第三季度,23772,104.9,,29998,35862,17786,18877,22165,12030,3174.53,1029.99,71.36,1237.21,709.38,,96.7,,79.5,,4.2
2024年第二季度,15356,105.0,,20312,23989,12655,12700,14933,8049,2021.09,622.98,51.17,873.65,395.39,,92.2,,89.1,,4.9
2024年第一季度,7377,105.4,,10871,12456,7624,6636,7763,4325,699.19,162.86,16.21,420.90,81.57,91.7,90.0,,78.6,,6.1
2023年第四季度,31390,105.5,,37992,45896,21483,24865,29091,16040,5266.81,2284.53,144.64,1691.45,957.02,99.7,90.9,,84.1,,8.8
2023年第三季度,22627,105.5,,28598,34298,16801,18148,21438,11338,3225.53,1030.27,81.70,1257.30,731.64,,91.9,,84.6,,8.1
2023年第二季度,14612,105.8,,19371,22951,11961,11825,13934,7461,2089.34,628.71,60.01,902.51,421.32,,100.5,,80.5,,9.1
2023年第一季度,6959,105.0,,10331,11872,7191,5962,7018,3812,725.51,162.91,17.05,451.97,76.08,119.1,110.4,,97.4,,6.5
2022年第四季度,29740,102.2,,36089,44003,19908,22604,26652,14326,5180.03,2258.29,161.70,1694.61,881.26,117.3,106.7,,96.0,,-2.6
2022年第三季度,21457,102.2,,27125,32844,15537,16500,19600,10221,3153.95,1028.54,95.18,1240.45,668.74,,113.0,,96.3,,-1.5
2022年第二季度,13742,101.6,,18326,21897,11092,10789,12799,6716,1983.67,588.73,70.84,867.28,382.46,,99.9,,97.6,,-2.9
2022年第一季度,6473,102.8,,9977,11552,6835,6046,7105,3933,670.29,144.53,15.35,423.50,69.82,100.2,91.1,,99.5,,1.5
2021年第四季度,28471,106.0,,35112,43051,19217,23831,28438,14606,4927.73,2222.54,120.95,1683.94,719.90,95.1,99.4,,102.9,,9.2
2021年第三季度,20257,107.6,,26499,32201,15187,16955,20398,10123,2915.44,933.11,58.40,1273.14,532.48,,97.3,,105.3,,12.8
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
