数据库：分省季度数据
地区：重庆市
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,33758,105.3,,41580,51854,23448,28046,32764,19719,,,,,,,95.5,,109.1,,3.1
2025年第三季度,24449,105.3,,32283,40683,17745,20567,24544,13683,2318.46,1519.70,147.63,474.13,118.28,100.4,96.4,,107.1,,3.6
2025年第二季度,15930,105.0,,22117,28051,11845,14001,16797,9162,1117.65,622.07,89.49,303.32,72.12,98.0,99.8,,104.1,,4.5
2025年第一季度,7575,104.3,,11860,14912,6681,7335,8805,4842,515.96,252.83,31.71,187.38,32.42,,102.9,,91.4,,4.1
2024年第四季度,32193,105.7,,39713,49778,22221,27451,32360,18918,3316.71,2116.30,205.73,761.33,148.16,,104.8,,87.5,,3.6
2024年第三季度,23347,106.0,,30792,39007,16790,19960,24061,12971,2258.98,1482.58,135.89,475.90,111.62,98.5,106.6,,83.0,,3.8
2024年第二季度,15215,106.1,,21036,26835,11152,13446,16266,8639,1069.06,597.31,82.60,293.38,68.06,103.7,99.2,,86.8,,3.9
2024年第一季度,7289,106.2,,11251,14224,6280,7058,8555,4556,491.28,241.28,28.70,179.93,30.70,102.9,94.8,,87.4,,5.5
2023年第四季度,30614,106.2,,37595,47435,20820,26515,31531,17964,3154.29,1978.04,188.11,766.62,142.86,100.6,93.1,,89.3,,8.6
2023年第三季度,22362,105.6,,29241,37298,15768,19312,23564,12203,2169.69,1404.79,126.31,482.63,107.09,97.5,96.3,,92.4,,7.4
2023年第二季度,14432,104.6,,19920,25588,10442,12934,15843,8068,1069.32,594.63,78.21,304.56,66.23,101.1,101.0,,97.8,,6.2
2023年第一季度,6981,104.7,,10670,13606,5856,6784,8328,4252,510.95,254.72,26.40,190.02,29.82,,106.6,,99.8,,4.7
2022年第四季度,28772,102.5,,35666,45509,19313,25371,30574,16727,3068.45,1881.78,176.42,800.94,136.99,121.3,109.3,,99.4,,-0.3
2022年第三季度,20864,102.9,,27826,35863,14727,18351,22676,11301,2075.49,1327.80,117.62,482.56,102.64,105.8,112.0,,98.7,,1.5
2022年第二季度,13540,103.8,,18923,24539,9768,12491,15479,7621,979.28,532.69,72.67,287.60,62.92,102.6,95.9,,99.2,,1.1
2022年第一季度,6476,105.0,,10240,13183,5534,6593,8171,4071,454.02,213.87,24.79,177.59,28.53,,76.8,,99.8,,4.2
2021年第四季度,28093,108.4,,33803,43502,18100,24598,29850,16096,2935.65,1759.89,168.13,804.15,138.17,,91.2,,99.4,,18.5
2021年第三季度,20020,110.0,,26133,33962,13700,17395,21618,10690,2040.82,1257.16,95.72,547.80,104.76,,97.3,,97.7,,23.7
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
