数据库：分省季度数据
地区：陕西省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,36551,105.1,,35790,49053,19286,24409,29807,17692,,,,,,111.1,98.1,,110.1,,6.0
2025年第三季度,25771,105.3,,27091,37381,14395,17973,22107,12874,2408.04,1604.06,72.22,530.63,28.68,80.9,98.7,,117.5,,6.1
2025年第二季度,16828,105.5,,17756,24335,9640,12044,14805,8636,1426.24,873.83,44.55,383.01,18.08,100.9,103.4,,118.3,,6.9
2025年第一季度,8236,105.6,,9394,12635,5449,6402,7815,4683,482.38,186.89,19.45,227.22,8.12,100.0,95.9,,88.1,,5.4
2024年第四季度,35539,105.3,,33905,46821,18199,23213,28543,16731,4704.41,3474.45,103.74,805.29,37.98,94.6,103.6,,86.7,,4.8
2024年第三季度,24965,104.6,,25653,35669,13576,17162,21305,12166,2324.42,1534.65,69.11,528.41,24.79,82.7,106.4,,76.4,,4.4
2024年第二季度,16393,104.3,,16808,23220,9077,11499,14267,8161,1404.09,865.75,43.29,376.05,15.95,97.1,90.2,,85.7,,4.6
2024年第一季度,7991,104.2,,8859,12021,5098,6106,7527,4417,483.12,194.85,17.48,224.89,7.28,100.0,95.4,,81.6,,2.5
2023年第四季度,33976,104.3,,32128,44713,16992,22012,27303,15647,4724.91,3468.13,96.37,864.39,36.66,100.7,95.5,,84.4,,3.4
2023年第三季度,24079,102.4,,24294,34037,12676,16310,20288,11568,2504.37,1675.69,62.45,592.22,23.73,101.7,95.8,,98.3,,3.1
2023年第二季度,15775,103.8,,15902,22150,8450,10897,13491,7803,1394.05,842.42,40.07,399.55,14.52,103.7,106.1,,85.7,,6.7
2023年第一季度,7792,105.4,,8306,11372,4698,5687,7012,4128,472.45,171.70,17.59,240.52,6.04,98.4,104.1,,98.3,,8.6
2022年第四季度,33036,104.5,,30116,42431,15704,19848,24766,14094,4601.93,3310.43,86.12,925.44,36.20,100.2,107.2,,99.4,,1.5
2022年第三季度,23814,105.0,,22806,32312,11776,14438,18019,10284,2421.01,1610.20,52.98,593.15,23.43,107.7,107.0,,88.2,,1.9
2022年第二季度,15452,104.4,,14906,21004,7830,9560,11882,6866,1315.78,794.68,32.01,383.23,14.11,115.6,101.5,,95.0,,0.3
2022年第一季度,7362,105.3,,7822,10819,4391,4971,6137,3635,456.79,184.78,15.75,216.24,5.73,110.3,101.1,,75.7,,0.2
2021年第四季度,30477,106.7,,28568,40713,14745,19347,24784,13158,4313.44,3035.65,99.97,917.76,34.99,100.0,95.3,,107.3,,6.7
2021年第三季度,21568,107.3,,21665,31052,11070,14536,18673,9867,2276.48,1441.48,71.57,610.76,21.92,120.0,97.9,,128.9,,12.0
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
