数据库：分省季度数据
地区：青海省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,4122,104.1,,31661,43879,17721,22315,27586,16300,,,,,,101.1,104.7,,108.6,,2.0
2025年第三季度,2866,103.7,,22376,31712,11963,16484,20946,11507,333.63,177.07,5.49,143.12,2.39,102.8,102.4,,106.2,,3.9
2025年第二季度,1876,104.0,,14408,20819,7257,10979,14054,7550,92.25,12.94,3.27,71.68,1.18,95.1,101.0,,102.6,,2.6
2025年第一季度,964,104.6,,8051,11245,4538,6035,7453,4476,43.15,2.97,0.01,38.55,0.31,94.0,100.9,,94.3,,0.6
2024年第四季度,3951,102.7,,30117,42191,16715,21204,26413,15421,534.14,247.18,13.43,260.36,4.39,87.6,87.5,,81.4,,-0.7
2024年第三季度,2782,102.5,,21284,30481,11304,15889,20391,11002,303.96,154.82,5.04,136.60,2.11,91.2,97.5,,89.3,,-3.1
2024年第二季度,1834,101.0,,13661,19933,6855,10645,13831,7188,90.48,14.02,2.97,69.43,0.98,89.4,99.1,,75.7,,-4.3
2024年第一季度,930,103.6,,7607,10732,4263,5824,7233,4315,42.62,3.19,0.01,37.93,0.23,91.5,93.2,,77.7,,-3.4
2023年第四季度,3849,105.4,,28587,40408,15614,20327,25373,14790,575.60,259.34,12.61,290.92,4.29,92.9,94.7,,91.8,,17.3
2023年第三季度,2766,105.7,,20180,29168,10536,15778,20354,10868,326.81,170.20,4.81,144.49,2.17,90.9,91.7,,87.4,,13.1
2023年第二季度,1847,106.8,,12907,19005,6365,10250,13457,6809,95.23,13.35,3.02,74.89,1.02,101.8,105.7,,92.8,,12.8
2023年第一季度,914,105.2,,7220,10280,3983,5513,7078,3857,44.42,3.27,0.01,39.64,0.28,105.5,111.9,,99.8,,3.6
2022年第四季度,3677,102.5,,27000,38736,14456,17261,21700,12516,566.21,238.34,13.09,302.34,4.25,109.5,109.6,,100.9,,-11.2
2022年第三季度,2625,102.9,,19111,28046,9774,12950,16794,8934,316.98,157.69,5.69,146.74,1.89,126.5,103.3,,97.9,,-7.4
2022年第二季度,1729,102.8,,12263,18346,5906,8677,11346,5888,91.25,12.44,3.22,71.97,0.78,107.3,77.4,,97.1,,-7.6
2022年第一季度,853,105.4,,6960,10050,3775,5045,6515,3530,42.75,2.73,0.01,38.60,0.23,108.3,85.4,,97.5,,-0.2
2021年第四季度,3446,105.9,,25919,37745,13604,19020,24513,13300,528.53,204.73,13.21,298.57,4.14,111.9,106.5,,95.9,,8.0
2021年第三季度,2461,106.9,,18247,27119,9213,13305,17506,9027,291.24,126.98,5.32,152.39,1.78,118.5,90.4,,98.4,,10.5
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
