数据库：分省季度数据
地区：黑龙江省
时间：最近18季度
时间,地区生产总值累计值(亿元),地区生产总值指数(上年同期=100)累计值(%),建筑业企业利润总额累计值(亿元),居民人均可支配收入累计值(元),城镇居民人均可支配收入累计值(元),农村居民人均可支配收入累计值(元),居民人均消费支出累计值(元),城镇居民人均消费支出累计值(元),农村居民人均消费支出累计值(元),农林牧渔业总产值累计值(亿元),农业总产值累计值(亿元),林业总产值累计值(亿元),牧业总产值累计值(亿元),渔业总产值累计值(亿元),油料生产价格指数当季值（上年同期=100）,农产品生产者价格指数当季值（上年同期=100）,糖料生产价格指数当季值（上年同期=100）,牛(毛重)生产价格指数当季值（上年同期=100）,固定资产投资价格指数当季值（上年同季=100）,社会消费品零售总额累计增长(%)
2025年第四季度,16878,104.2,,32851,39901,22188,24431,28666,18026,,,,,,112.7,104.5,,117.5,,3.2
2025年第三季度,11489,104.8,,22810,29195,13207,17679,20812,12966,2275.26,823.67,139.12,1018.89,138.83,,88.7,,111.0,,4.5
2025年第二季度,7088,105.1,,14881,18912,8817,11694,13647,8757,1044.16,190.74,60.65,667.45,47.24,,91.9,,109.1,,5.1
2025年第一季度,3402,104.9,,9179,10193,7664,5990,6904,4626,367.04,16.68,8.68,318.80,5.39,,88.4,,89.4,,4.1
2024年第四季度,16477,103.2,,31269,38212,20963,23467,27625,17295,5904.11,3794.98,201.03,1513.79,175.96,76.8,84.2,,78.3,,1.9
2024年第三季度,11196,102.3,,21719,27931,12550,17007,20084,12464,2228.16,814.10,131.92,1003.42,131.66,,99.3,,79.9,,1.7
2024年第二季度,6900,101.5,,14130,18043,8353,11123,12965,8403,1009.18,173.43,58.15,661.65,41.77,,92.2,,74.0,,1.5
2024年第一季度,3281,102.2,,8692,9676,7249,5717,6582,4450,357.80,15.65,9.25,311.37,4.92,78.6,93.7,,80.9,,1.4
2023年第四季度,16471,102.8,,29694,36492,19756,22052,25882,16453,6492.51,4200.38,207.98,1722.87,155.06,100.6,100.4,,80.9,,8.1
2023年第三季度,11038,102.7,,20594,26641,11802,16025,18900,11844,2305.05,818.56,136.73,1097.69,112.84,,93.9,,83.6,,8.3
2023年第二季度,6886,104.8,,13355,17163,7818,10374,12188,7736,1060.89,160.00,65.51,726.24,38.68,,96.5,,90.4,,9.6
2023年第一季度,3239,105.4,,8118,9083,6724,5301,6156,4067,388.90,15.54,9.51,343.51,4.55,,108.0,,99.5,,8.3
2022年第四季度,16359,102.8,,28346,35042,18577,20412,24011,15162,6718.24,4320.48,212.31,1842.84,147.85,73.7,113.4,,98.3,,-6.0
2022年第三季度,10825,103.0,,19651,25531,11119,14769,17480,10836,2277.66,801.16,143.36,1092.81,109.44,,117.3,,97.0,,-4.3
2022年第二季度,6614,102.9,,12775,16404,7511,9594,11304,7114,1013.40,154.43,70.14,685.87,36.85,,105.5,,93.9,,-3.2
2022年第一季度,3078,105.5,,7762,8766,6316,5146,5974,3954,346.83,15.08,9.52,303.19,4.25,,89.2,,90.0,,2.4
2021年第四季度,15293,106.2,,27159,33646,17889,20636,24422,15225,6459.97,4099.55,208.05,1833.07,135.90,100.3,97.8,,91.7,,8.8
2021年第三季度,9970,108.2,,18865,24408,10987,14140,16903,10213,2162.78,648.33,148.17,1150.94,91.62,,100.7,,97.0,,16.6
注：1.按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对2005年-2023年季度地区生产总值数据进行了系统修订。
　　　2.根据建筑业统计制度，建筑业财务指标无四季度数据。
　　　3.2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
　　　4.2007-2017年1-3季度农林牧渔业总产值未根据第三次全国农业普查结果修订的年度数据进行修订。
　　　5.根据国民经济行业分类标准，从2003年农林牧渔业总产值包括农林牧渔服务业产值（2019年改为农林牧渔专业及辅助性活动产值）。
　　　6.农林牧渔业总产值包括农林牧渔专业及辅助性活动产值。
　　　7.按国家统计局部署，2019年一季度起，固定资产投资价格统计实施新的报表制度。
　　　8.2020年起，国家统计局取消固定资产投资价格统计调查制度。
　　　9.各地区社会消费品零售总额数据相加不等于全国，原因是全国数据进行了修正。
　　　10.社会消费品零售总额1992年以前为社会商品零售总额。
数据来源：国家统计局
